Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,the provided text does not contain enough information to populate the ontology modules as,"requested. the text does not provide specific details about the agent's name, description, place of origin, race, age, sex, status, occupation, relationships, or participant roles.",16,0.5563500170241743,6,0.5666666666666668,0.0,0.0
hassex,male,the provided text does not contain enough information to populate the ontology modules as,"requested. the text does not provide specific details about the agent's name, description, place of origin, race, age, sex, status, occupation, relationships, or participant roles.",8,0.4965043695380775,4,0.5907407407407407,0.0,0.0
hasparticipantrole,child,the provided text does not contain enough information to populate the ontology modules as,"requested. the text does not provide specific details about the agent's name, description, place of origin, race, age, sex, status, occupation, relationships, or participant roles.",24,0.5339575530586766,4,0.6092592592592593,0.0,0.0
hasparticipantrole,deceased person,the provided text does not contain enough information to populate the ontology modules as,"requested. the text does not provide specific details about the agent's name, description, place of origin, race, age, sex, status, occupation, relationships, or participant roles.",24,0.5339575530586766,15,0.5388888888888889,0.0,0.0
hasdescriptiveoccupation,slave,the provided text does not contain enough information to populate the ontology modules as,"requested. the text does not provide specific details about the agent's name, description, place of origin, race, age, sex, status, occupation, relationships, or participant roles.",27,0.5607945425361155,4,0.5425925925925926,0.0,0.0
hasdescriptiveoccupation,medal of honor recipient,the provided text does not contain enough information to populate the ontology modules as,"requested. the text does not provide specific details about the agent's name, description, place of origin, race, age, sex, status, occupation, relationships, or participant roles.",27,0.5607945425361155,21,0.6,0.0,0.0525127427260942
hasdescriptiveoccupation,sailor (navy),the provided text does not contain enough information to populate the ontology modules as,"requested. the text does not provide specific details about the agent's name, description, place of origin, race, age, sex, status, occupation, relationships, or participant roles.",27,0.5607945425361155,9,0.4415954415954417,0.0,0.0
hasfirstname,robert,the provided text does not contain enough information to populate the ontology modules as,"requested. the text does not provide specific details about the agent's name, description, place of origin, race, age, sex, status, occupation, relationships, or participant roles.",18,0.5588752695494268,6,0.5666666666666668,0.0,0.0
hassurname,blake,the provided text does not contain enough information to populate the ontology modules as,"requested. the text does not provide specific details about the agent's name, description, place of origin, race, age, sex, status, occupation, relationships, or participant roles.",16,0.5559300873907614,4,0.4407407407407408,0.0,0.0
hasname,robert blake,the provided text does not contain enough information to populate the ontology modules as,"requested. the text does not provide specific details about the agent's name, description, place of origin, race, age, sex, status, occupation, relationships, or participant roles.",12,0.585963973604423,10,0.4962962962962963,0.0,0.0
hasdescription,born enslaved. free before 13th amendment. the first african american sailor to earn the medal of honor.,the provided text does not contain enough information to populate the ontology modules as,"requested. the text does not provide specific details about the agent's name, description, place of origin, race, age, sex, status, occupation, relationships, or participant roles.",21,0.537700127587768,38,0.6602633030052386,0.0,0.12569495432810576
