Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the provided,"text, the following ontology can be populated:",38,0.5292929292929293,12,0.5217391304347826,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,henry box brown,32,0.537878787878788,38,0.5611111111111111,0.0,0.0
instance of,person,box,"brown, 'henry box brown')",14,0.0,26,0.44222222222222224,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,brown,27,0.49242424242424243,55,0.7000000000000001,0.0,0.0
instance of,person,box,"brown, 'brown')",14,0.0,29,0.5666666666666667,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,henry,40,0.5692640692640693,36,0.5777777777777778,0.0,0.0
instance of,person,box,"brown, 'henry')",14,0.0,29,0.5666666666666667,0.0,0.0
instance of,person,has_alternate_name,alternate_name,34,0.5107744107744108,30,0.5714285714285715,0.0,0.0
instance of,person,has_alternate_name,prof. h. box brown,34,0.5107744107744108,33,0.5555555555555555,0.0,0.0
instance of,person,has_alternate_name,african prince,34,0.5107744107744108,30,0.4920634920634921,0.0,0.0
instance of,person,box,"brown, 'prof. h. box brown'), has_alternate_name(henry box brown, 'african prince')",14,0.0,11,0.5240963855421686,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type,relationship_type,33,0.5340909090909091,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type,spouse,33,0.5340909090909091,33,0.5555555555555555,0.0,0.0
instance of,person,box,"brown, 'spouse')",14,0.0,27,0.5555555555555555,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,jane floyd,34,0.5798460798460798,25,0.48888888888888893,0.0,0.0
instance of,person,box,"brown, 'jane floyd')",14,0.0,23,0.5499999999999999,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,actor,32,0.5668831168831169,18,0.41111111111111115,0.0,0.0
instance of,person,has_participant_role,magician,32,0.5668831168831169,14,0.4305555555555555,0.0,0.0
instance of,person,box,"brown, 'actor'), has_participant_role(henry box brown, 'magician')",14,0.0,14,0.503030303030303,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,male,22,0.45598845598845594,20,0.47222222222222215,0.0,0.0
instance of,person,box,"brown, 'male')",14,0.0,30,0.5714285714285715,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,actor,24,0.38311688311688313,18,0.41111111111111115,0.0,0.0
instance of,person,has_occupation,magician,24,0.38311688311688313,14,0.4305555555555555,0.0,0.0
instance of,person,box,"brown, 'actor'), has_occupation(henry box brown, 'magician')",14,0.0,15,0.5055555555555555,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,1815 or 1816,33,0.5463869463869464,11,0.3333333333333333,0.0,0.0
instance of,person,box,"brown, '1815 or 1816')",14,0.0,21,0.5454545454545454,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,has_deathdate,june 15,33,0.39044289044289043,15,0.4365079365079365,0.0,0.0
instance of,person,has_deathdate,1897,33,0.39044289044289043,0,0.0,0.0,0.0
instance of,person,box,"brown, 'june 15, 1897')",14,0.0,21,0.4468599033816425,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
instance of,person,has_race_or_color,african-american,36,0.5162210338680927,27,0.4861111111111111,0.0,0.0
instance of,person,box,"brown, 'african-american')",14,0.0,19,0.5384615384615384,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,enslaved person,29,0.449554367201426,57,0.45555555555555555,0.0,0.5797386715376658
instance of,person,has_person_status,free person,29,0.449554367201426,71,0.3383838383838384,0.0,0.5797386715376658
instance of,person,box,"brown, 'enslaved person'), has_person_status(henry box brown, 'free person')",14,0.0,15,0.5263157894736842,0.0,0.4285693450091423
instance of,person,is no,"information about the agent's age, ethnolinguistic descriptor, or specific events related to the agent's name, sex, occupation, age, race, or person status. therefore, these relations are not included in the populated ontology.",50,0.5131313131313131,5,0.5643661282427802,0.0,0.10787085876973429
instance of,person,text does not provide information for every module,"relation. for example, there is no information about the agent's age, ethnolinguistic descriptor, or specific events related to the agent's name, sex, occupation, age, race, or person status. therefore, these relations are not included in the populated ontology.",23,0.5696969696969697,4,0.5631891433418151,0.0,0.10112299942192489
hasalternatename,box,on the provided,"text, the following ontology can be populated:",26,0.48055555555555557,8,0.4033816425120773,0.0,0.0
hasalternatename,box,record,module:,18,0.3194444444444444,20,0.4920634920634921,0.0,0.0
hasalternatename,box,has_name,name,58,0.6527777777777778,0,0.0,0.0,0.0
hasalternatename,box,has_name,henry box brown,58,0.6527777777777778,33,0.7333333333333334,0.0,0.4494364165239821
hasalternatename,box,box,"brown, 'henry box brown')",0,0.0,21,0.5822222222222222,0.0,0.3032160644503863
hasalternatename,box,has_surname,surname,59,0.6590909090909091,0,0.0,0.0,0.0
hasalternatename,box,has_surname,brown,59,0.6590909090909091,50,0.6888888888888888,0.0,0.0
hasalternatename,box,box,"brown, 'brown')",0,0.0,22,0.6,0.0,0.0
hasalternatename,box,has_first_name,first_name,60,0.6240079365079364,0,0.0,0.0,0.0
hasalternatename,box,has_first_name,henry,60,0.6240079365079364,0,0.0,0.0,0.0
hasalternatename,box,box,"brown, 'henry')",0,0.0,22,0.6,0.0,0.0
hasalternatename,box,has_alternate_name,alternate_name,94,0.9740740740740741,0,0.0,0.0,0.0
hasalternatename,box,has_alternate_name,prof. h. box brown,94,0.9740740740740741,29,0.46296296296296297,0.0,0.4494364165239821
hasalternatename,box,has_alternate_name,african prince,94,0.9740740740740741,0,0.0,0.0,0.0
hasalternatename,box,box,"brown, 'prof. h. box brown'), has_alternate_name(henry box brown, 'african prince')",0,0.0,7,0.678714859437751,0.0,0.35547677795468396
hasalternatename,box,relationship record,module:,29,0.5153508771929824,20,0.4920634920634921,0.0,0.0
hasalternatename,box,has_interagent_relationship_type,relationship_type,46,0.6755952380952381,10,0.4640522875816993,0.0,0.0
hasalternatename,box,has_interagent_relationship_type,spouse,46,0.6755952380952381,22,0.5,0.0,0.0
hasalternatename,box,box,"brown, 'spouse')",0,0.0,21,0.5972222222222222,0.0,0.0
hasalternatename,box,is_relationship_to,agent,29,0.5231481481481481,0,0.0,0.0,0.0
hasalternatename,box,is_relationship_to,jane floyd,29,0.5231481481481481,15,0.0,0.0,0.0
hasalternatename,box,box,"brown, 'jane floyd')",0,0.0,17,0.5888888888888889,0.0,0.0
hasalternatename,box,role record,module:,30,0.4545454545454546,20,0.4920634920634921,0.0,0.0
hasalternatename,box,has_participant_role,participant_role_type,44,0.6416666666666667,8,0.0,0.0,0.0
hasalternatename,box,has_participant_role,actor,44,0.6416666666666667,25,0.0,0.0,0.0
hasalternatename,box,has_participant_role,magician,44,0.6416666666666667,0,0.0,0.0,0.0
hasalternatename,box,box,"brown, 'actor'), has_participant_role(henry box brown, 'magician')",0,0.0,9,0.5656565656565656,0.0,0.24395572500006343
hasalternatename,box,record,module:,18,0.3194444444444444,20,0.4920634920634921,0.0,0.0
hasalternatename,box,has_sex,sex_type,35,0.6071428571428571,18,0.4861111111111111,0.0,0.0
hasalternatename,box,has_sex,male,35,0.6071428571428571,0,0.0,0.0,0.0
hasalternatename,box,box,"brown, 'male')",0,0.0,24,0.6031746031746031,0.0,0.0
hasalternatename,box,record,module:,18,0.3194444444444444,20,0.4920634920634921,0.0,0.0
hasalternatename,box,has_occupation,occupation,40,0.6011904761904762,15,0.4777777777777778,0.0,0.0
hasalternatename,box,has_occupation,actor,40,0.6011904761904762,25,0.0,0.0,0.0
hasalternatename,box,has_occupation,magician,40,0.6011904761904762,0,0.0,0.0,0.0
hasalternatename,box,box,"brown, 'actor'), has_occupation(henry box brown, 'magician')",0,0.0,10,0.5666666666666667,0.0,0.24395572500006343
hasalternatename,box,record,module:,18,0.3194444444444444,20,0.4920634920634921,0.0,0.0
hasalternatename,box,has_birthdate,date_of_birth,48,0.6217948717948718,12,0.47008547008547,0.0,0.0
hasalternatename,box,has_birthdate,1815 or 1816,48,0.6217948717948718,13,0.47222222222222215,0.0,0.0
hasalternatename,box,box,"brown, '1815 or 1816')",0,0.0,16,0.5858585858585859,0.0,0.0
hasalternatename,box,has_deathdate,date_of_death,55,0.8001958689458689,12,0.47008547008547,0.0,0.0
hasalternatename,box,has_deathdate,june 15,55,0.8001958689458689,0,0.0,0.0,0.0
hasalternatename,box,has_deathdate,1897,55,0.8001958689458689,0,0.0,0.0,0.0
hasalternatename,box,box,"brown, 'june 15, 1897')",0,0.0,15,0.5845410628019324,0.0,0.0
hasalternatename,box,record,module:,18,0.3194444444444444,20,0.4920634920634921,0.0,0.0
hasalternatename,box,has_race_or_color,race_or_color,36,0.5204248366013072,12,0.47008547008547,0.0,0.0
hasalternatename,box,has_race_or_color,african-american,36,0.5204248366013072,0,0.0,0.0,0.0
hasalternatename,box,box,"brown, 'african-american')",0,0.0,14,0.5811965811965812,0.0,0.0
hasalternatename,box,status record,module:,34,0.5010683760683761,20,0.4920634920634921,0.0,0.0
hasalternatename,box,has_person_status,enslaved person,48,0.6232298474945533,11,0.0,0.0,0.0
hasalternatename,box,has_person_status,free person,48,0.6232298474945533,14,0.0,0.0,0.0
hasalternatename,box,box,"brown, 'enslaved person'), has_person_status(henry box brown, 'free person')",0,0.0,8,0.5643274853801169,0.0,0.2011946755849157
hasalternatename,box,is no,"information about the agent's age, ethnolinguistic descriptor, or specific events related to the agent's name, sex, occupation, age, race, or person status. therefore, these relations are not included in the populated ontology.",19,0.5083333333333333,3,0.559960841899168,0.0,0.0
hasalternatename,box,text does not provide information for every module,"relation. for example, there is no information about the agent's age, ethnolinguistic descriptor, or specific events related to the agent's name, sex, occupation, age, race, or person status. therefore, these relations are not included in the populated ontology.",27,0.5146212121212121,2,0.5593723494486853,0.0,0.0
hassex,male,on the provided,"text, the following ontology can be populated:",19,0.48888888888888893,12,0.34782608695652173,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_name,name,57,0.8055555555555556,50,0.6666666666666666,0.0,0.0
hassex,male,has_name,henry box brown,57,0.8055555555555556,11,0.4388888888888889,0.0,0.0
hassex,male,box,"brown, 'henry box brown')",22,0.0,7,0.43,0.0,0.0
hassex,male,has_surname,surname,59,0.6767676767676768,36,0.0,0.0,0.0
hassex,male,has_surname,brown,59,0.6767676767676768,0,0.0,0.0,0.0
hassex,male,box,"brown, 'brown')",22,0.0,0,0.0,0.0,0.0
hassex,male,has_first_name,first_name,50,0.6507936507936508,29,0.0,0.0,0.0
hassex,male,has_first_name,henry,50,0.6507936507936508,22,0.0,0.0,0.0
hassex,male,box,"brown, 'henry')",22,0.0,11,0.4388888888888889,0.0,0.0
hassex,male,has_alternate_name,alternate_name,33,0.6296296296296297,33,0.6547619047619048,0.0,0.0
hassex,male,has_alternate_name,prof. h. box brown,33,0.6296296296296297,0,0.0,0.0,0.0
hassex,male,has_alternate_name,african prince,33,0.6296296296296297,22,0.44047619047619047,0.0,0.0
hassex,male,box,"brown, 'prof. h. box brown'), has_alternate_name(henry box brown, 'african prince')",22,0.0,7,0.5953815261044176,0.0,0.0
hassex,male,relationship record,module:,24,0.44152046783625726,55,0.7535714285714287,0.0,0.0
hassex,male,has_interagent_relationship_type,relationship_type,26,0.5972222222222222,19,0.5310457516339869,0.0,0.0
hassex,male,has_interagent_relationship_type,spouse,26,0.5972222222222222,20,0.47222222222222215,0.0,0.0
hassex,male,box,"brown, 'spouse')",22,0.0,10,0.0,0.0,0.0
hassex,male,is_relationship_to,agent,17,0.46296296296296297,44,0.6333333333333333,0.0,0.0
hassex,male,is_relationship_to,jane floyd,17,0.46296296296296297,29,0.5722222222222223,0.0,0.0
hassex,male,box,"brown, 'jane floyd')",22,0.0,17,0.5333333333333333,0.0,0.0
hassex,male,role record,module:,12,0.41919191919191917,55,0.7535714285714287,0.0,0.0
hassex,male,has_participant_role,participant_role_type,31,0.5499999999999999,24,0.43253968253968256,0.0,0.0
hassex,male,has_participant_role,actor,31,0.5499999999999999,22,0.48333333333333334,0.0,0.0
hassex,male,has_participant_role,magician,31,0.5499999999999999,33,0.5833333333333334,0.0,0.0
hassex,male,box,"brown, 'actor'), has_participant_role(henry box brown, 'magician')",22,0.0,9,0.4217171717171717,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_sex,sex_type,92,0.9666666666666667,17,0.4583333333333333,0.0,0.0
hassex,male,has_sex,male,92,0.9666666666666667,100,1.0,0.0,1.0
hassex,male,box,"brown, 'male')",22,0.0,44,0.0,0.0,0.5797386715376658
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_occupation,occupation,30,0.5714285714285715,14,0.45,0.0,0.0
hassex,male,has_occupation,actor,30,0.5714285714285715,22,0.48333333333333334,0.0,0.0
hassex,male,has_occupation,magician,30,0.5714285714285715,33,0.5833333333333334,0.0,0.0
hassex,male,box,"brown, 'actor'), has_occupation(henry box brown, 'magician')",22,0.0,6,0.4222222222222222,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_birthdate,date_of_birth,42,0.576923076923077,24,0.5512820512820512,0.0,0.0
hassex,male,has_birthdate,1815 or 1816,42,0.576923076923077,0,0.0,0.0,0.0
hassex,male,box,"brown, '1815 or 1816')",22,0.0,0,0.0,0.0,0.0
hassex,male,has_deathdate,date_of_death,42,0.6581196581196581,24,0.5512820512820512,0.0,0.0
hassex,male,has_deathdate,june 15,42,0.6581196581196581,18,0.46428571428571425,0.0,0.0
hassex,male,has_deathdate,1897,42,0.6581196581196581,0,0.0,0.0,0.0
hassex,male,box,"brown, 'june 15, 1897')",22,0.0,7,0.43115942028985504,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_race_or_color,race_or_color,35,0.6339869281045751,24,0.5512820512820512,0.0,0.0
hassex,male,has_race_or_color,african-american,35,0.6339869281045751,20,0.5416666666666666,0.0,0.0
hassex,male,box,"brown, 'african-american')",22,0.0,13,0.42948717948717946,0.0,0.0
hassex,male,status record,module:,32,0.5747863247863249,55,0.7535714285714287,0.0,0.0
hassex,male,has_person_status,enslaved person,35,0.642483660130719,21,0.5388888888888889,0.0,0.0
hassex,male,has_person_status,free person,35,0.642483660130719,13,0.44696969696969696,0.0,0.0
hassex,male,box,"brown, 'enslaved person'), has_person_status(henry box brown, 'free person')",22,0.0,5,0.48538011695906436,0.0,0.0
hassex,male,is no,"information about the agent's age, ethnolinguistic descriptor, or specific events related to the agent's name, sex, occupation, age, race, or person status. therefore, these relations are not included in the populated ontology.",18,0.45555555555555555,3,0.5892070484581498,0.0,0.0
hassex,male,text does not provide information for every module,"relation. for example, there is no information about the agent's age, ethnolinguistic descriptor, or specific events related to the agent's name, sex, occupation, age, race, or person status. therefore, these relations are not included in the populated ontology.",7,0.40888888888888886,3,0.5050890585241731,0.0,0.0
hasparticipantrole,child,on the provided,"text, the following ontology can be populated:",30,0.4756613756613757,16,0.44396135265700476,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_name,name,38,0.5675925925925926,0,0.0,0.0,0.0
hasparticipantrole,child,has_name,henry box brown,38,0.5675925925925926,10,0.4222222222222222,0.0,0.0
