TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Dred Scott,hasDescription,"Born Enslaved. A litigant in the famous Dred Scott v. John F. A. Sanford case, which was highly polarizing in the lead-up to the Civil War.",58,60,0.6870525988173046,0.0,43,69,0.5935910769592211,0.1644845990780391
Dred Scott,hasDescriptiveOccupation,Litigant,63,65,0.6662267471091,0.0,19,24,0.5722222222222223,0.0
Dred Scott,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,24,100,0.5508771929824561,0.3799783615910079
Dred Scott,hasFirstName,Dred,83,86,0.9019607843137256,0.0,30,100,0.7037037037037037,0.7092972666062738
Dred Scott,hasName,Dred Scott,78,82,0.8787878787878788,0.0,61,100,0.7782608695652175,0.8955324150715727
Dred Scott,hasParticipantRole,Child,88,90,0.927536231884058,0.0,16,17,0.6296296296296297,0.0
Dred Scott,hasParticipantRole,Deceased Person,88,90,0.927536231884058,0.0,32,57,0.5859649122807018,0.2060836350139382
Dred Scott,hasSex,Male,75,80,0.8666666666666667,0.0,25,100,0.6055555555555555,0.3799783615910079
Dred Scott,hasSurname,Scott,83,87,0.9047619047619048,0.0,36,100,0.7261904761904763,0.7092972666062738
Dred Scott,instance of,Person,36,37,0.5774410774410774,0.0,21,100,0.6,0.3554767779546839
