TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Josiah Henson,hasDescription,"Born Enslaved. Free before 13th Amendment. An escaped slave who became a pastor, led a community of escaped slaves, wrote an autobiography and possibly was the basis for the character of Uncle Tom in Harriet Beecher Stowe's famous novel.",90,100,0.9411764705882352,1.0,46,60,0.6995785659614042,0.2754372209190645
Josiah Henson,hasDescriptiveOccupation,Literary Inspiration,68,70,0.8022875816993463,0.0,34,44,0.6025,0.0
Josiah Henson,hasDescriptiveOccupation,Methodist Episcopal Clergy,68,70,0.8022875816993463,0.0,33,51,0.5515262515262515,0.1096425868345385
Josiah Henson,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,18,24,0.5236842105263158,0.0
Josiah Henson,hasFirstName,Josiah,63,71,0.7983091787439612,0.0,34,100,0.6527777777777778,0.6348087971775132
Josiah Henson,hasName,Josiah Henson,58,61,0.8039215686274509,0.0,62,100,0.6878868258178604,0.8955324150715727
Josiah Henson,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,18,20,0.6136054421768707,0.0
Josiah Henson,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,36,57,0.5842948717948718,0.1757860783933462
Josiah Henson,hasSex,Male,80,100,0.8888888888888888,1.0,24,100,0.6041666666666666,0.3799783615910079
Josiah Henson,hasSurname,Henson,65,67,0.8253968253968255,0.0,34,100,0.6545893719806762,0.6348087971775132
Josiah Henson,instance of,Person,36,41,0.5989057239057239,0.0,23,100,0.5972222222222222,0.3032160644503863
