Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,benjamin boardley,32,0.537878787878788,17,0.4477124183006536,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,boardley,27,0.49242424242424243,14,0.3611111111111111,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,benjamin,40,0.5692640692640693,29,0.5277777777777778,0.0,0.0
instance of,person,has_alternate_name,alternate_name,34,0.5107744107744108,30,0.5714285714285715,0.0,0.0
instance of,person,has_alternate_name,benjamin bradley,34,0.5107744107744108,18,0.4861111111111111,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type,relationship_type,33,0.5340909090909091,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type,enslaved person,33,0.5340909090909091,57,0.45555555555555555,0.0,0.5797386715376658
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,john t. hammond,34,0.5798460798460798,19,0.48888888888888893,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,helper,32,0.5668831168831169,50,0.4444444444444444,0.0,0.0
instance of,person,role_provided_by,event,15,0.4356060606060606,36,0.5777777777777778,0.0,0.0
instance of,person,role_provided_by,work at naval academy,15,0.4356060606060606,15,0.43650793650793646,0.0,0.0
instance of,person,at naval,academy'),21,0.43813131313131315,13,0.4259259259259259,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,engineer and inventor,24,0.38311688311688313,22,0.43650793650793646,0.0,0.0
instance of,person,has_occupation,philosophical lecturer,24,0.38311688311688313,21,0.4343434343434343,0.0,0.0
instance of,person,and,"inventor'), has_occupation(benjamin boardley, 'philosophical lecturer')",29,0.44949494949494945,13,0.5837245696400625,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,has_age,64,33,0.45598845598845594,0,0.0,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,march 1830,33,0.5463869463869464,12,0.4222222222222222,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,enslaved person,29,0.449554367201426,57,0.45555555555555555,0.0,0.5797386715376658
instance of,person,has_person_status,freeman,29,0.449554367201426,31,0.5317460317460317,0.0,0.0
instance of,person,text does not provide information for the sex record,"module, race record module, and ethnolinguistic descriptor record module.",22,0.5671328671328671,10,0.49048706240487067,0.0,0.0
hasname,benjamin bradley,record,module:,15,0.0,35,0.30357142857142855,0.0,0.0
hasname,benjamin bradley,has_name,name,93,0.9708333333333333,40,0.5833333333333334,0.0,0.0
hasname,benjamin bradley,has_name,benjamin boardley,93,0.9708333333333333,91,0.975735294117647,0.0,0.33609692727625756
hasname,benjamin bradley,has_surname,surname,78,0.9151515151515152,35,0.44047619047619047,0.0,0.0
hasname,benjamin bradley,has_surname,boardley,78,0.9151515151515152,58,0.5,0.0,0.0
hasname,benjamin bradley,has_first_name,first_name,67,0.5476190476190476,31,0.4708333333333334,0.0,0.0
hasname,benjamin bradley,has_first_name,benjamin,67,0.5476190476190476,67,0.9,0.0,0.5797386715376658
hasname,benjamin bradley,has_alternate_name,alternate_name,56,0.6746031746031745,40,0.5238095238095238,0.0,0.0
hasname,benjamin bradley,has_alternate_name,benjamin bradley,56,0.6746031746031745,100,1.0,0.0,1.0000000000000002
hasname,benjamin bradley,relationship record,module:,23,0.5106516290726817,35,0.30357142857142855,0.0,0.0
hasname,benjamin bradley,has_interagent_relationship_type,relationship_type,31,0.6259920634920636,30,0.4648692810457516,0.0,0.0
