Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
hasname,william lewis,record,module:,15,0.0,30,0.47985347985347987,0.0,0.0
hasname,william lewis,has_name,name,93,0.9708333333333333,35,0.5512820512820512,0.0,0.0
hasname,william lewis,has_name,william lewis reece,93,0.9708333333333333,81,0.9368421052631579,0.0,0.7092972666062739
hasname,william lewis,lewis,"reece, ""william lewis reece"")",17,0.44761904761904764,62,0.6878868258178604,0.0,0.4494364165239822
hasname,william lewis,has_surname,surname,78,0.9151515151515152,30,0.553113553113553,0.0,0.0
hasname,william lewis,has_surname,reece,78,0.9151515151515152,11,0.4256410256410256,0.0,0.0
hasname,william lewis,lewis,"reece, ""reece"")",17,0.44761904761904764,14,0.2623931623931624,0.0,0.0
hasname,william lewis,has_first_name,first_name,67,0.5476190476190476,35,0.5692307692307693,0.0,0.0
hasname,william lewis,has_first_name,william,67,0.5476190476190476,70,0.9076923076923077,0.0,0.5797386715376658
hasname,william lewis,lewis,"reece, ""william"").",17,0.44761904761904764,45,0.5826210826210826,0.0,0.33609692727625756
hasname,william lewis,relationship record,module:,23,0.5106516290726817,30,0.47985347985347987,0.0,0.0
hasname,william lewis,information,available.,22,0.45598845598845594,43,0.5615384615384615,0.0,0.0
hasname,william lewis,record,module:,15,0.0,30,0.47985347985347987,0.0,0.0
hasname,william lewis,has_sex,sex_type,57,0.8,10,0.4006410256410256,0.0,0.0
hasname,william lewis,has_sex,male,57,0.8,35,0.3846153846153846,0.0,0.0
hasname,william lewis,lewis,"reece, ""male"").",17,0.44761904761904764,21,0.4393162393162393,0.0,0.0
hasname,william lewis,record,module:,15,0.0,30,0.47985347985347987,0.0,0.0
hasname,william lewis,has_occupation,occupation,38,0.6190476190476191,17,0.28461538461538466,0.0,0.0
hasname,william lewis,has_occupation,serial killer,38,0.6190476190476191,38,0.5970695970695971,0.0,0.0
hasname,william lewis,has_occupation,rapist,38,0.6190476190476191,32,0.32905982905982906,0.0,0.0
hasname,william lewis,has_occupation,kidnapper,38,0.6190476190476191,27,0.5213675213675214,0.0,0.0
hasname,william lewis,lewis,"reece, ""serial killer, rapist, kidnapper"").",17,0.44761904761904764,25,0.5339296362552176,0.0,0.0
hasname,william lewis,record,module:,15,0.0,30,0.47985347985347987,0.0,0.0
hasname,william lewis,has_age,age,71,0.8666666666666668,25,0.47008547008547,0.0,0.0
