Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,text does not provide the information to answer this,"question. therefore, i will not attempt to make up an answer. the text only provides information about mary fields, a stagecoach driver, and does not mention joseph vance lewis. please provide more context or information about joseph vance lewis for me to assist you in populating the ontology. if you have any further questions or need help with anything else, feel free to ask!",22,0.5156047656047656,3,0.5052770448548812,0.0,0.0
instance of,person,is that,"the text does not provide the information to answer this question. therefore, i will not attempt to make up an answer. the text only provides information about mary fields, a stagecoach driver, and does not mention joseph vance lewis. please provide more context or information about joseph vance lewis for me to assist you in populating the ontology. if you have any further questions or need help with anything else, feel free to ask! i hope it is correct. let me know if you have any further questions.",44,0.6450216450216449,2,0.503960396039604,0.0,0.0
instance of,person,final answer is that the text does not provide the information to answer this,"question. therefore, i will not attempt to make up an answer. the text only provides information about mary fields, a stagecoach driver, and does not mention joseph vance lewis. please provide more context or information about joseph vance lewis for me to assist you in populating the ontology. if you have any further questions or need help with anything else, feel free to ask! i hope it is correct. let me know if you have any further questions.",20,0.5463203463203463,3,0.5044642857142857,0.0,0.0
hassex,female,text does not provide the information to answer this,"question. therefore, i will not attempt to make up an answer. the text only provides information about mary fields, a stagecoach driver, and does not mention joseph vance lewis. please provide more context or information about joseph vance lewis for me to assist you in populating the ontology. if you have any further questions or need help with anything else, feel free to ask!",14,0.41452991452991456,3,0.5608326004104368,0.0,0.0
hassex,female,is that,"the text does not provide the information to answer this question. therefore, i will not attempt to make up an answer. the text only provides information about mary fields, a stagecoach driver, and does not mention joseph vance lewis. please provide more context or information about joseph vance lewis for me to assist you in populating the ontology. if you have any further questions or need help with anything else, feel free to ask! i hope it is correct. let me know if you have any further questions.",31,0.4365079365079365,2,0.5595159515951594,0.0,0.0
hassex,female,final answer is that the text does not provide the information to answer this,"question. therefore, i will not attempt to make up an answer. the text only provides information about mary fields, a stagecoach driver, and does not mention joseph vance lewis. please provide more context or information about joseph vance lewis for me to assist you in populating the ontology. if you have any further questions or need help with anything else, feel free to ask! i hope it is correct. let me know if you have any further questions.",12,0.5815295815295816,3,0.5600198412698413,0.0,0.0
hasparticipantrole,child,text does not provide the information to answer this,"question. therefore, i will not attempt to make up an answer. the text only provides information about mary fields, a stagecoach driver, and does not mention joseph vance lewis. please provide more context or information about joseph vance lewis for me to assist you in populating the ontology. if you have any further questions or need help with anything else, feel free to ask!",29,0.5035612535612536,3,0.5377308707124011,0.0,0.0
hasparticipantrole,child,is that,"the text does not provide the information to answer this question. therefore, i will not attempt to make up an answer. the text only provides information about mary fields, a stagecoach driver, and does not mention joseph vance lewis. please provide more context or information about joseph vance lewis for me to assist you in populating the ontology. if you have any further questions or need help with anything else, feel free to ask! i hope it is correct. let me know if you have any further questions.",32,0.6190476190476191,2,0.6033003300330033,0.0,0.0
hasparticipantrole,child,final answer is that the text does not provide the information to answer this,"question. therefore, i will not attempt to make up an answer. the text only provides information about mary fields, a stagecoach driver, and does not mention joseph vance lewis. please provide more context or information about joseph vance lewis for me to assist you in populating the ontology. if you have any further questions or need help with anything else, feel free to ask! i hope it is correct. let me know if you have any further questions.",25,0.5738936988936989,2,0.5370535714285714,0.0,0.0
hasparticipantrole,deceased person,text does not provide the information to answer this,"question. therefore, i will not attempt to make up an answer. the text only provides information about mary fields, a stagecoach driver, and does not mention joseph vance lewis. please provide more context or information about joseph vance lewis for me to assist you in populating the ontology. if you have any further questions or need help with anything else, feel free to ask!",29,0.5035612535612536,8,0.5243037232483143,0.0,0.0
hasparticipantrole,deceased person,is that,"the text does not provide the information to answer this question. therefore, i will not attempt to make up an answer. the text only provides information about mary fields, a stagecoach driver, and does not mention joseph vance lewis. please provide more context or information about joseph vance lewis for me to assist you in populating the ontology. if you have any further questions or need help with anything else, feel free to ask! i hope it is correct. let me know if you have any further questions.",32,0.6190476190476191,6,0.521012101210121,0.0,0.0
hasparticipantrole,deceased person,final answer is that the text does not provide the information to answer this,"question. therefore, i will not attempt to make up an answer. the text only provides information about mary fields, a stagecoach driver, and does not mention joseph vance lewis. please provide more context or information about joseph vance lewis for me to assist you in populating the ontology. if you have any further questions or need help with anything else, feel free to ask! i hope it is correct. let me know if you have any further questions.",25,0.5738936988936989,6,0.5222718253968254,0.0,0.0
