TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Moses Grandy,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Moses Grandy,instance of,Person,1. hasNameVariant,"hasNameVariant(Moses Grandy, ""Moses Grandy"")",21,22,0.4496434937611408,0.0,20,18,0.5156565656565656,0.0
Moses Grandy,instance of,Person,2. hasPreferredNameVariant,"hasPreferredNameVariant(Moses Grandy, ""Moses Grandy"")",16,17,0.4822843822843823,0.0,20,19,0.5932914046121592,0.0
Moses Grandy,instance of,Person,3. fullNameAsString,"string): fullNameAsString(Moses Grandy, ""Moses Grandy"")",20,28,0.35805422647527907,0.0,16,19,0.5080808080808081,0.0
Moses Grandy,instance of,Person,4. hasSurnameAsString,"string): hasSurnameAsString(Moses Grandy, ""Grandy"")",25,26,0.43088023088023086,0.0,14,18,0.49836601307189543,0.0
Moses Grandy,instance of,Person,5. hasFirstnameAsString,"string): hasFirstnameAsString(Moses Grandy, ""Moses"")",29,30,0.5040466779597215,0.0,14,17,0.49786324786324787,0.0
Moses Grandy,instance of,Person,Origin Record Module,,32,26,0.5595959595959595,0.0,0,0,0.0,0.0
Moses Grandy,instance of,Person,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(Moses Grandy, ""North Carolina"")",29,41,0.4998196248196248,0.0,20,18,0.5932914046121592,0.0
Moses Grandy,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Moses Grandy,instance of,Person,1. has_Race,"has_Race(Moses Grandy, ""African-American"")",36,38,0.49242424242424243,0.0,12,18,0.5174603174603175,0.0
Moses Grandy,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Moses Grandy,instance of,Person,1. hasAgeValue,"double): hasAgeValue(Moses Grandy, 1786)",24,25,0.46645021645021645,0.0,17,19,0.4138888888888889,0.0
Moses Grandy,instance of,Person,2. hasBirthDate,"hasBirthDate(Moses Grandy, ""1786"")",31,32,0.3767676767676768,0.0,15,17,0.511437908496732,0.0
Moses Grandy,instance of,Person,Note,"Death date is unknown, so it is not included.",27,40,0.5606060606060607,0.0,16,17,0.5018518518518519,0.0
Moses Grandy,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Moses Grandy,instance of,Person,1. hasSex,"hasSex(Moses Grandy, ""Male"")",20,21,0.42424242424242414,0.0,18,20,0.5373015873015873,0.0
Moses Grandy,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Moses Grandy,instance of,Person,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(Moses Grandy, ""manumission"")",27,28,0.4809634809634809,0.0,17,19,0.5098290598290598,0.0
Moses Grandy,instance of,Person,2. hasValue,"hasValue(Moses Grandy, ""Enslaved, Free Person"")",27,29,0.404040404040404,0.0,23,100,0.5132387706855792,0.3032160644503863
Moses Grandy,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Moses Grandy,instance of,Person,1. hasValue,"hasValue(Moses Grandy, ""Author, Abolitionist, Boat Commander, Laborer"")",27,29,0.404040404040404,0.0,13,11,0.5012519561815337,0.0
Moses Grandy,instance of,Person,InterAgent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
