TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Dred Scott,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Dred Scott,instance of,Person,1. has_Name,"has_Name(Dred Scott, ""Dred Scott"")",27,29,0.404040404040404,0.0,15,24,0.511437908496732,0.0
Dred Scott,instance of,Person,2. has_Surname,"has_Surname(Dred Scott, ""Scott"")",24,25,0.47056277056277057,0.0,16,29,0.5298611111111111,0.0
Dred Scott,instance of,Person,3. has_First_Name,"has_First_Name(Dred Scott, ""Dred"").",36,37,0.3719548425430778,0.0,15,26,0.4174603174603175,0.0
Dred Scott,instance of,Person,Interagent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Dred Scott,instance of,Person,1. has_Interagent_Relationship_Type_To,"has_Interagent_Relationship_Type_To(Dred Scott, ""Spouse""), has_Interagent_Relationship_Type_To(Dred Scott, ""Parent"")",24,29,0.520933014354067,0.0,8,15,0.49214559386973183,0.0
Dred Scott,instance of,Person,2. is_Relationship_To,"is_Relationship_To(Dred Scott, ""Harriet""), is_Relationship_To(Dred Scott, ""Eliza""), is_Relationship_To(Dred Scott, ""Lizzie"").",31,32,0.536075036075036,0.0,8,18,0.4911111111111111,0.0
Dred Scott,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
Dred Scott,instance of,Person,1. has_Participant_Role,"has_Participant_Role(Dred Scott, ""Plaintiff"")",29,30,0.4239789196310935,0.0,20,17,0.6,0.0
Dred Scott,instance of,Person,2. Role_Provided_by,"Role_Provided_by(Plaintiff, ""Dred Scott v. Sandford case of 1857""), Role_Provided_by(Plaintiff, ""Scott v. Emerson case of 1847"").",13,14,0.3657628920786815,0.0,9,12,0.5710594315245477,0.0
Dred Scott,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
