Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,the text provided does not contain specific information about an agent named joseph vance lewis or any other specific individual that would allow me to populate the ontology modules as,"requested. the text discusses a person named roper, but does not provide detailed information about his age, birth date, death date, or other specific details required for the ontology modules.",11,0.5350790513833992,6,0.6214738054116293,0.0,0.12479481351004779
hassex,male,the text provided does not contain specific information about an agent named joseph vance lewis or any other specific individual that would allow me to populate the ontology modules as,"requested. the text discusses a person named roper, but does not provide detailed information about his age, birth date, death date, or other specific details required for the ontology modules.",5,0.5664251207729468,4,0.5902417962003454,0.0,0.0
hasparticipantrole,child,the text provided does not contain specific information about an agent named joseph vance lewis or any other specific individual that would allow me to populate the ontology modules as,"requested. the text discusses a person named roper, but does not provide detailed information about his age, birth date, death date, or other specific details required for the ontology modules.",17,0.5696457326892109,5,0.6086355785837652,0.0,0.0
hasparticipantrole,deceased person,the text provided does not contain specific information about an agent named joseph vance lewis or any other specific individual that would allow me to populate the ontology modules as,"requested. the text discusses a person named roper, but does not provide detailed information about his age, birth date, death date, or other specific details required for the ontology modules.",17,0.5696457326892109,14,0.5592400690846286,0.0,0.07234837939910585
hasdescriptiveoccupation,farmer,the text provided does not contain specific information about an agent named joseph vance lewis or any other specific individual that would allow me to populate the ontology modules as,"requested. the text discusses a person named roper, but does not provide detailed information about his age, birth date, death date, or other specific details required for the ontology modules.",19,0.5573671497584541,5,0.5103626943005182,0.0,0.0
hasdescriptiveoccupation,slave,the text provided does not contain specific information about an agent named joseph vance lewis or any other specific individual that would allow me to populate the ontology modules as,"requested. the text discusses a person named roper, but does not provide detailed information about his age, birth date, death date, or other specific details required for the ontology modules.",19,0.5573671497584541,4,0.6086355785837652,0.0,0.0
hasdescriptiveoccupation,abolitionist,the text provided does not contain specific information about an agent named joseph vance lewis or any other specific individual that would allow me to populate the ontology modules as,"requested. the text discusses a person named roper, but does not provide detailed information about his age, birth date, death date, or other specific details required for the ontology modules.",19,0.5573671497584541,12,0.548503166378814,0.0,0.0
hasdescriptiveoccupation,fugitive slave,the text provided does not contain specific information about an agent named joseph vance lewis or any other specific individual that would allow me to populate the ontology modules as,"requested. the text discusses a person named roper, but does not provide detailed information about his age, birth date, death date, or other specific details required for the ontology modules.",19,0.5573671497584541,10,0.5008841187597665,0.0,0.0
hasdescriptiveoccupation,autobiographer / memoirist,the text provided does not contain specific information about an agent named joseph vance lewis or any other specific individual that would allow me to populate the ontology modules as,"requested. the text discusses a person named roper, but does not provide detailed information about his age, birth date, death date, or other specific details required for the ontology modules.",19,0.5573671497584541,17,0.5296986404499359,0.0,0.0
hasdescriptiveoccupation,slave narrative author,the text provided does not contain specific information about an agent named joseph vance lewis or any other specific individual that would allow me to populate the ontology modules as,"requested. the text discusses a person named roper, but does not provide detailed information about his age, birth date, death date, or other specific details required for the ontology modules.",19,0.5573671497584541,17,0.5290544228368063,0.0,0.0
hasfirstname,moses,the text provided does not contain specific information about an agent named joseph vance lewis or any other specific individual that would allow me to populate the ontology modules as,"requested. the text discusses a person named roper, but does not provide detailed information about his age, birth date, death date, or other specific details required for the ontology modules.",12,0.5495169082125604,5,0.5419689119170985,0.0,0.0
hassurname,roper,the text provided does not contain specific information about an agent named joseph vance lewis or any other specific individual that would allow me to populate the ontology modules as,"requested. the text discusses a person named roper, but does not provide detailed information about his age, birth date, death date, or other specific details required for the ontology modules.",9,0.5514492753623189,5,0.6086355785837652,0.0,0.12479481351004779
hasname,moses roper,the text provided does not contain specific information about an agent named joseph vance lewis or any other specific individual that would allow me to populate the ontology modules as,"requested. the text discusses a person named roper, but does not provide detailed information about his age, birth date, death date, or other specific details required for the ontology modules.",7,0.631728778467909,11,0.5341497880357984,0.0,0.07234837939910585
hasdescription,"enslaved. free before 13th amendment. he escaped to the north via the ""maritime underground railroad"" and then traveled to england in 1835, where he became a lecturer and author.",the text provided does not contain specific information about an agent named joseph vance lewis or any other specific individual that would allow me to populate the ontology modules as,"requested. the text discusses a person named roper, but does not provide detailed information about his age, birth date, death date, or other specific details required for the ontology modules.",12,0.5253623188405797,43,0.7173479562641241,0.0,0.06232542022310522
