TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Thom Gross,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Thom Gross,instance of,Person,1. has_Name,"has_Name(Thomas Midgley Jr., ""Thomas Midgley Jr."")",27,29,0.404040404040404,0.0,11,19,0.4155555555555555,0.0
Thom Gross,instance of,Person,2. has_Surname,"has_Surname(Thomas Midgley Jr., ""Midgley"")",24,25,0.47056277056277057,0.0,8,17,0.5174603174603175,0.0
Thom Gross,instance of,Person,3. has_First_Name,"has_First_Name(Thomas Midgley Jr., ""Thomas"").",36,37,0.3719548425430778,0.0,12,16,0.5018518518518519,0.0
Thom Gross,instance of,Person,Interagent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Thom Gross,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
Thom Gross,instance of,Person,1. has_Participant_Role,"has_Participant_Role(Thomas Midgley Jr., ""Developer of leaded gasoline and CFCs"").",29,30,0.4239789196310935,0.0,14,15,0.5799457994579945,0.0
Thom Gross,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Thom Gross,instance of,Person,1. has_Sex,"has_Sex(Thomas Midgley Jr., ""Male"").",19,20,0.41313131313131307,0.0,10,17,0.4166666666666667,0.0
Thom Gross,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Thom Gross,instance of,Person,1. has_Occupation,"has_Occupation(Thomas Midgley Jr., ""Mechanical and Chemical Engineer"").",21,22,0.5162210338680927,0.0,8,14,0.5012519561815337,0.0
Thom Gross,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
