TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Elijah Abel Able,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Elijah Abel Able,instance of,Person,1. has_Name,"has_Name(Elijah Abel, ""Elijah Abel"")",27,29,0.404040404040404,0.0,5,23,0.2962962962962963,0.0
Elijah Abel Able,instance of,Person,2. has_Surname,"has_Surname(Elijah Abel, ""Abel"")",24,25,0.47056277056277057,0.0,11,21,0.5138888888888888,0.0
Elijah Abel Able,instance of,Person,3. has_First_Name,"has_First_Name(Elijah Abel, ""Elijah"")",36,37,0.3719548425430778,0.0,9,25,0.41591591591591587,0.0
Elijah Abel Able,instance of,Person,4. has_Alternate_Name,"has_Alternate_Name(Elijah Abel, ""Able""), has_Alternate_Name(Elijah Abel, ""Ables"").",25,32,0.49927849927849927,0.0,9,13,0.4884823848238482,0.0
Elijah Abel Able,instance of,Person,Interagent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Elijah Abel Able,instance of,Person,1. has_Interagent_Relationship_Type_To,"has_Interagent_Relationship_Type_To(Elijah Abel, ""Spouse""), has_Interagent_Relationship_Type_To(Elijah Abel, ""Parent""), has_Interagent_Relationship_Type_To(Elijah Abel, ""Adoptive Parent"")",24,29,0.520933014354067,0.0,6,16,0.48669043374925725,0.0
Elijah Abel Able,instance of,Person,2. is_Relationship_To,"is_Relationship_To(Elijah Abel, ""Mary Ann Adams""), is_Relationship_To(Elijah Abel, ""Eight Children""), is_Relationship_To(Elijah Abel, ""Rola"").",31,32,0.536075036075036,0.0,7,14,0.4895148669796557,0.0
Elijah Abel Able,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
Elijah Abel Able,instance of,Person,1. has_Participant_Role,"has_Participant_Role(Elijah Abel, ""Member""), has_Participant_Role(Elijah Abel, ""Elder""), has_Participant_Role(Elijah Abel, ""Seventy"").",29,30,0.4239789196310935,0.0,9,17,0.5704809286898839,0.0
Elijah Abel Able,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
