TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Lewis G Clarke,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Lewis G Clarke,instance of,Person,1. hasNameVariant,"hasNameVariant(Lewis Garrard Clarke, ""Lewis Garrard Clarke"")",21,22,0.4496434937611408,0.0,9,20,0.49444444444444446,0.0
Lewis G Clarke,instance of,Person,2. hasPreferredNameVariant,"hasPreferredNameVariant(Lewis Garrard Clarke, ""Lewis Clarke"")",16,17,0.4822843822843823,0.0,12,16,0.5717668488160291,0.0
Lewis G Clarke,instance of,Person,3. fullNameAsString,"string): fullNameAsString(Lewis Garrard Clarke, ""Lewis Garrard Clarke"")",20,28,0.35805422647527907,0.0,8,16,0.4910015649452269,0.0
Lewis G Clarke,instance of,Person,4. hasSurnameAsString,"string): hasSurnameAsString(Lewis Garrard Clarke, ""Clarke"")",25,26,0.43088023088023086,0.0,9,15,0.49482109227871945,0.0
Lewis G Clarke,instance of,Person,5. hasFirstnameAsString,"string): hasFirstnameAsString(Lewis Garrard Clarke, ""Lewis"")",29,30,0.5040466779597215,0.0,9,15,0.49444444444444446,0.0
Lewis G Clarke,instance of,Person,Origin Record Module,,32,26,0.5595959595959595,0.0,0,0,0.0,0.0
Lewis G Clarke,instance of,Person,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(Lewis Garrard Clarke, ""Madison County, Kentucky"")",29,41,0.4998196248196248,0.0,16,14,0.5837245696400625,0.0
Lewis G Clarke,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Lewis G Clarke,instance of,Person,1. has_Race,"has_Race(Lewis Garrard Clarke, ""African-American"")",36,38,0.49242424242424243,0.0,11,12,0.40888888888888886,0.0
Lewis G Clarke,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Lewis G Clarke,instance of,Person,1. hasAgeValue,"double): hasAgeValue(Lewis Garrard Clarke, 85)",24,25,0.46645021645021645,0.0,8,12,0.4106280193236715,0.0
Lewis G Clarke,instance of,Person,2. hasBirthDate,"hasBirthDate(Lewis Garrard Clarke, ""1812"")",31,32,0.3767676767676768,0.0,8,14,0.41269841269841273,0.0
Lewis G Clarke,instance of,Person,3. hasDeathDate,"hasDeathDate(Lewis Garrard Clarke, ""December 16, 1897"")",31,32,0.46262626262626255,0.0,7,11,0.4070707070707071,0.0
Lewis G Clarke,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Lewis G Clarke,instance of,Person,1. hasSex,"hasSex(Lewis Garrard Clarke, ""Male"")",20,21,0.42424242424242414,0.0,10,16,0.4166666666666667,0.0
Lewis G Clarke,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Lewis G Clarke,instance of,Person,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(Lewis Garrard Clarke, ""escape to freedom in Canada in 1841"")",27,28,0.4809634809634809,0.0,11,12,0.4047619047619047,0.0
Lewis G Clarke,instance of,Person,2. hasValue,"hasValue(Lewis Garrard Clarke, ""Enslaved, Free Person"")",27,29,0.404040404040404,0.0,20,100,0.4070707070707071,0.2789425453258252
Lewis G Clarke,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Lewis G Clarke,instance of,Person,1. hasValue,"hasValue(Lewis Garrard Clarke, ""Author"")",27,29,0.404040404040404,0.0,13,14,0.4138888888888889,0.0
Lewis G Clarke,instance of,Person,InterAgent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Lewis G Clarke,instance of,Person,1. hasInterAgentRelationshipType,"hasInterAgentRelationshipType(Lewis Garrard Clarke, ""Enslaver or Owner, Character Inspiration"")",23,33,0.5340909090909091,0.0,10,12,0.49532163742690055,0.0
Lewis G Clarke,instance of,Person,2. isRelationshipTo,"isRelationshipTo(Lewis Garrard Clarke, ""Samuel Campbell, Harriet Beecher Stowe"")",33,34,0.5494417862838915,0.0,7,15,0.4986111111111111,0.0
Lewis G Clarke,instance of,Person,3. isRelationshipFrom,"isRelationshipFrom(Samuel Campbell, ""Lewis Garrard Clarke""), isRelationshipFrom(Harriet Beecher Stowe, ""Lewis Garrard Clarke"")",31,32,0.536075036075036,0.0,8,14,0.49100529100529106,0.0
Lewis G Clarke,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
Lewis G Clarke,instance of,Person,1. hasParticipantRoleType,"hasParticipantRoleType(Lewis Garrard Clarke, ""Narrator"")",28,29,0.5574242424242425,0.0,13,17,0.5912698412698413,0.0
Lewis G Clarke,instance of,Person,2. roleProvidedBy,"roleProvidedBy(Lewis Garrard Clarke, ""Narrative of the Sufferings of Lewis Clarke"")",14,15,0.3719548425430778,0.0,11,14,0.4978580990629184,0.0
Lewis G Clarke,hasSex,Male,Name Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
Lewis G Clarke,hasSex,Male,1. hasNameVariant,"hasNameVariant(Lewis Garrard Clarke, ""Lewis Garrard Clarke"")",35,36,0.6339869281045751,0.0,9,21,0.48888888888888893,0.0
Lewis G Clarke,hasSex,Male,2. hasPreferredNameVariant,"hasPreferredNameVariant(Lewis Garrard Clarke, ""Lewis Clarke"")",25,26,0.6068376068376068,0.0,9,17,0.5109289617486339,0.0
Lewis G Clarke,hasSex,Male,3. fullNameAsString,"string): fullNameAsString(Lewis Garrard Clarke, ""Lewis Garrard Clarke"")",24,25,0.4795321637426901,0.0,8,17,0.48630672926447566,0.0
Lewis G Clarke,hasSex,Male,4. hasSurnameAsString,"string): hasSurnameAsString(Lewis Garrard Clarke, ""Clarke"")",37,38,0.6904761904761904,0.0,10,16,0.5112994350282486,0.0
Lewis G Clarke,hasSex,Male,5. hasFirstnameAsString,"string): hasFirstnameAsString(Lewis Garrard Clarke, ""Lewis"")",28,36,0.6135265700483091,0.0,9,15,0.5111111111111111,0.0
Lewis G Clarke,hasSex,Male,Origin Record Module,,8,8,0.4055555555555556,0.0,0,0,0.0,0.0
Lewis G Clarke,hasSex,Male,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(Lewis Garrard Clarke, ""Madison County, Kentucky"")",13,14,0.3055555555555555,0.0,8,11,0.48630672926447566,0.0
Lewis G Clarke,hasSex,Male,Race Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
Lewis G Clarke,hasSex,Male,1. has_Race,"has_Race(Lewis Garrard Clarke, ""African-American"")",47,50,0.5909090909090909,0.0,11,16,0.49222222222222217,0.0
Lewis G Clarke,hasSex,Male,Age Record Module,,9,17,0.40849673202614384,0.0,0,0,0.0,0.0
Lewis G Clarke,hasSex,Male,1. hasAgeValue,"double): hasAgeValue(Lewis Garrard Clarke, 85)",40,42,0.6507936507936508,0.0,12,13,0.4939613526570048,0.0
Lewis G Clarke,hasSex,Male,2. hasBirthDate,"hasBirthDate(Lewis Garrard Clarke, ""1812"")",38,40,0.5666666666666667,0.0,13,14,0.5158730158730159,0.0
Lewis G Clarke,hasSex,Male,3. hasDeathDate,"hasDeathDate(Lewis Garrard Clarke, ""December 16, 1897"")",38,40,0.6444444444444445,0.0,10,15,0.4904040404040404,0.0
Lewis G Clarke,hasSex,Male,Sex Record Module,,26,26,0.5588235294117647,0.0,0,0,0.0,0.0
Lewis G Clarke,hasSex,Male,1. hasSex,"hasSex(Lewis Garrard Clarke, ""Male"")",80,100,0.8888888888888888,1.0,20,100,0.5185185185185185,0.33517574332792605
Lewis G Clarke,hasSex,Male,Person Status Record Module,,18,12,0.5216049382716049,0.0,0,0,0.0,0.0
Lewis G Clarke,hasSex,Male,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(Lewis Garrard Clarke, ""escape to freedom in Canada in 1841"")",31,32,0.6752136752136751,0.0,7,10,0.48412698412698413,0.0
Lewis G Clarke,hasSex,Male,2. hasValue,"hasValue(Lewis Garrard Clarke, ""Enslaved, Free Person"")",47,50,0.5909090909090909,0.0,10,11,0.6015151515151516,0.0
Lewis G Clarke,hasSex,Male,Occupation Record Module,,13,13,0.47222222222222215,0.0,0,0,0.0,0.0
Lewis G Clarke,hasSex,Male,1. hasValue,"hasValue(Lewis Garrard Clarke, ""Author"")",47,50,0.5909090909090909,0.0,14,15,0.6083333333333333,0.0
Lewis G Clarke,hasSex,Male,InterAgent Relationship Record Module,,14,9,0.41591591591591587,0.0,0,0,0.0,0.0
Lewis G Clarke,hasSex,Male,1. hasInterAgentRelationshipType,"hasInterAgentRelationshipType(Lewis Garrard Clarke, ""Enslaver or Owner, Character Inspiration"")",21,27,0.5972222222222222,0.0,6,6,0.48274853801169587,0.0
Lewis G Clarke,hasSex,Male,2. isRelationshipTo,"isRelationshipTo(Lewis Garrard Clarke, ""Samuel Campbell, Harriet Beecher Stowe"")",16,17,0.44152046783625726,0.0,7,10,0.4847222222222222,0.0
Lewis G Clarke,hasSex,Male,3. isRelationshipFrom,"isRelationshipFrom(Samuel Campbell, ""Lewis Garrard Clarke""), isRelationshipFrom(Harriet Beecher Stowe, ""Lewis Garrard Clarke"")",15,15,0.43650793650793646,0.0,5,10,0.4801587301587302,0.0
