Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the provided,"text, the following ontology can be populated:",38,0.5292929292929293,12,0.5217391304347826,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,henry ossian flipper,32,0.537878787878788,31,0.6277777777777779,0.0,0.0
instance of,person,ossian,"flipper, 'henry ossian flipper')",35,0.51010101010101,26,0.6736111111111112,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,flipper,27,0.49242424242424243,46,0.0,0.0,0.0
instance of,person,ossian,"flipper, 'flipper')",35,0.51010101010101,24,0.5526315789473685,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,henry,40,0.5692640692640693,36,0.5777777777777778,0.0,0.0
instance of,person,ossian,"flipper, 'henry')",35,0.51010101010101,35,0.6339869281045751,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type,relationship_type,33,0.5340909090909091,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type,subordinate,33,0.5340909090909091,35,0.5934343434343434,0.0,0.0
instance of,person,ossian,"flipper, 'subordinate')",35,0.51010101010101,41,0.6835748792270531,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,captain nicholas m. nolan,34,0.5798460798460798,26,0.4288888888888889,0.0,0.0
instance of,person,ossian,"flipper, 'captain nicholas m. nolan')",35,0.51010101010101,28,0.5915915915915916,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,officer,32,0.5668831168831169,31,0.0,0.0,0.0
instance of,person,ossian,"flipper, 'officer')",35,0.51010101010101,32,0.6257309941520468,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,cavalry officer,24,0.38311688311688313,19,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,engineer,24,0.38311688311688313,29,0.5277777777777778,0.0,0.0
instance of,person,ossian,"flipper, 'cavalry officer'), has_occupation(henry ossian flipper, 'engineer')",35,0.51010101010101,14,0.637085137085137,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,dismissed,29,0.449554367201426,13,0.4259259259259259,0.0,0.0
instance of,person,ossian,"flipper, 'dismissed')",35,0.51010101010101,30,0.6190476190476191,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
instance of,person,has_race_or_color,nonwhite,36,0.5162210338680927,29,0.5277777777777778,0.0,0.0
instance of,person,ossian,"flipper, 'nonwhite')",35,0.51010101010101,38,0.6277777777777779,0.0,0.0
instance of,person,text does not provide explicit information about the,"agent's sex, age, birth date, death date, ethnolinguistic descriptor, or specific events related to the agent's status. therefore, these ontology modules cannot be populated based on the provided text.",19,0.5156047656047656,6,0.5655058043117744,0.0,0.0
hassex,male,on the provided,"text, the following ontology can be populated:",19,0.48888888888888893,12,0.34782608695652173,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_name,name,57,0.8055555555555556,50,0.6666666666666666,0.0,0.0
hassex,male,has_name,henry ossian flipper,57,0.8055555555555556,25,0.3666666666666667,0.0,0.0
hassex,male,ossian,"flipper, 'henry ossian flipper')",33,0.5555555555555555,17,0.5208333333333334,0.0,0.0
hassex,male,has_surname,surname,59,0.6767676767676768,36,0.0,0.0,0.0
hassex,male,has_surname,flipper,59,0.6767676767676768,36,0.5952380952380952,0.0,0.0
hassex,male,ossian,"flipper, 'flipper')",33,0.5555555555555555,17,0.5350877192982456,0.0,0.0
hassex,male,has_first_name,first_name,50,0.6507936507936508,29,0.0,0.0,0.0
hassex,male,has_first_name,henry,50,0.6507936507936508,22,0.0,0.0,0.0
hassex,male,ossian,"flipper, 'henry')",33,0.5555555555555555,19,0.5392156862745098,0.0,0.0
hassex,male,relationship record,module:,24,0.44152046783625726,55,0.7535714285714287,0.0,0.0
hassex,male,has_interagent_relationship_type,relationship_type,26,0.5972222222222222,19,0.5310457516339869,0.0,0.0
hassex,male,has_interagent_relationship_type,subordinate,26,0.5972222222222222,27,0.0,0.0,0.0
hassex,male,ossian,"flipper, 'subordinate')",33,0.5555555555555555,15,0.5289855072463768,0.0,0.0
hassex,male,is_relationship_to,agent,17,0.46296296296296297,44,0.6333333333333333,0.0,0.0
hassex,male,is_relationship_to,captain nicholas m. nolan,17,0.46296296296296297,14,0.5266666666666667,0.0,0.0
hassex,male,ossian,"flipper, 'captain nicholas m. nolan')",33,0.5555555555555555,10,0.49924924924924924,0.0,0.0
hassex,male,role record,module:,12,0.41919191919191917,55,0.7535714285714287,0.0,0.0
hassex,male,has_participant_role,participant_role_type,31,0.5499999999999999,24,0.43253968253968256,0.0,0.0
hassex,male,has_participant_role,officer,31,0.5499999999999999,18,0.46428571428571425,0.0,0.0
hassex,male,ossian,"flipper, 'officer')",33,0.5555555555555555,17,0.5350877192982456,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_occupation,occupation,30,0.5714285714285715,14,0.45,0.0,0.0
hassex,male,has_occupation,cavalry officer,30,0.5714285714285715,32,0.5444444444444444,0.0,0.0
hassex,male,has_occupation,engineer,30,0.5714285714285715,17,0.4583333333333333,0.0,0.0
hassex,male,ossian,"flipper, 'cavalry officer'), has_occupation(henry ossian flipper, 'engineer')",33,0.5555555555555555,7,0.4852092352092352,0.0,0.0
hassex,male,status record,module:,32,0.5747863247863249,55,0.7535714285714287,0.0,0.0
hassex,male,has_person_status,dismissed,35,0.642483660130719,31,0.4537037037037037,0.0,0.0
hassex,male,ossian,"flipper, 'dismissed')",33,0.5555555555555555,16,0.5317460317460317,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_race_or_color,race_or_color,35,0.6339869281045751,24,0.5512820512820512,0.0,0.0
hassex,male,has_race_or_color,nonwhite,35,0.6339869281045751,17,0.0,0.0,0.0
hassex,male,ossian,"flipper, 'nonwhite')",33,0.5555555555555555,17,0.5333333333333333,0.0,0.0
hassex,male,text does not provide explicit information about the,"agent's sex, age, birth date, death date, ethnolinguistic descriptor, or specific events related to the agent's status. therefore, these ontology modules cannot be populated based on the provided text.",10,0.40811965811965817,4,0.4771973466003317,0.0,0.0
hasparticipantrole,child,on the provided,"text, the following ontology can be populated:",30,0.4756613756613757,16,0.44396135265700476,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_name,name,38,0.5675925925925926,0,0.0,0.0,0.0
hasparticipantrole,child,has_name,henry ossian flipper,38,0.5675925925925926,24,0.5,0.0,0.0
hasparticipantrole,child,ossian,"flipper, 'henry ossian flipper')",33,0.5462962962962963,16,0.4534722222222222,0.0,0.0
hasparticipantrole,child,has_surname,surname,41,0.6274651274651274,0,0.0,0.0,0.0
hasparticipantrole,child,has_surname,flipper,41,0.6274651274651274,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,ossian,"flipper, 'flipper')",33,0.5462962962962963,17,0.3350877192982456,0.0,0.0
hasparticipantrole,child,has_first_name,first_name,44,0.6772486772486772,13,0.43333333333333335,0.0,0.0
hasparticipantrole,child,has_first_name,henry,44,0.6772486772486772,20,0.4666666666666666,0.0,0.0
hasparticipantrole,child,ossian,"flipper, 'henry')",33,0.5462962962962963,9,0.33921568627450976,0.0,0.0
hasparticipantrole,child,relationship record,module:,38,0.5994152046783626,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_interagent_relationship_type,relationship_type,44,0.65625,18,0.33921568627450976,0.0,0.0
hasparticipantrole,child,has_interagent_relationship_type,subordinate,44,0.65625,12,0.3606060606060606,0.0,0.0
hasparticipantrole,child,ossian,"flipper, 'subordinate')",33,0.5462962962962963,14,0.3289855072463768,0.0,0.0
hasparticipantrole,child,is_relationship_to,agent,44,0.6037037037037037,0,0.0,0.0,0.0
hasparticipantrole,child,is_relationship_to,captain nicholas m. nolan,44,0.6037037037037037,20,0.57,0.0,0.0
hasparticipantrole,child,ossian,"flipper, 'captain nicholas m. nolan')",33,0.5462962962962963,14,0.44924924924924925,0.0,0.0
hasparticipantrole,child,role record,module:,28,0.4452861952861953,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_participant_role,participant_role_type,95,0.9766666666666667,23,0.33174603174603173,0.0,0.0
hasparticipantrole,child,has_participant_role,officer,95,0.9766666666666667,17,0.44761904761904764,0.0,0.0
hasparticipantrole,child,ossian,"flipper, 'officer')",33,0.5462962962962963,8,0.3350877192982456,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_occupation,occupation,50,0.6566137566137565,27,0.43333333333333335,0.0,0.0
hasparticipantrole,child,has_occupation,cavalry officer,50,0.6566137566137565,20,0.5111111111111111,0.0,0.0
hasparticipantrole,child,has_occupation,engineer,50,0.6566137566137565,15,0.44166666666666665,0.0,0.0
hasparticipantrole,child,ossian,"flipper, 'cavalry officer'), has_occupation(henry ossian flipper, 'engineer')",33,0.5462962962962963,10,0.4506493506493507,0.0,0.0
hasparticipantrole,child,status record,module:,39,0.4995929995929996,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_person_status,dismissed,46,0.6479302832244008,29,0.43703703703703706,0.0,0.0
hasparticipantrole,child,ossian,"flipper, 'dismissed')",33,0.5462962962962963,15,0.4698412698412698,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_race_or_color,race_or_color,46,0.60239651416122,22,0.4256410256410256,0.0,0.0
hasparticipantrole,child,has_race_or_color,nonwhite,46,0.60239651416122,31,0.5499999999999999,0.0,0.0
hasparticipantrole,child,ossian,"flipper, 'nonwhite')",33,0.5462962962962963,16,0.3333333333333333,0.0,0.0
hasparticipantrole,child,text does not provide explicit information about the,"agent's sex, age, birth date, death date, ethnolinguistic descriptor, or specific events related to the agent's status. therefore, these ontology modules cannot be populated based on the provided text.",29,0.5156695156695157,4,0.6082918739635158,0.0,0.0
hasparticipantrole,deceased person,on the provided,"text, the following ontology can be populated:",30,0.4756613756613757,23,0.4140096618357488,0.0,0.0
hasparticipantrole,deceased person,record,module:,25,0.48148148148148145,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,has_name,name,38,0.5675925925925926,21,0.37777777777777777,0.0,0.0
hasparticipantrole,deceased person,has_name,henry ossian flipper,38,0.5675925925925926,34,0.5888888888888889,0.0,0.0
hasparticipantrole,deceased person,ossian,"flipper, 'henry ossian flipper')",33,0.5462962962962963,30,0.5159722222222222,0.0,0.0
hasparticipantrole,deceased person,has_surname,surname,41,0.6274651274651274,27,0.4317460317460317,0.0,0.0
hasparticipantrole,deceased person,has_surname,flipper,41,0.6274651274651274,27,0.4317460317460317,0.0,0.0
hasparticipantrole,deceased person,ossian,"flipper, 'flipper')",33,0.5462962962962963,29,0.39883040935672515,0.0,0.0
hasparticipantrole,deceased person,has_first_name,first_name,44,0.6772486772486772,24,0.38888888888888884,0.0,0.0
hasparticipantrole,deceased person,has_first_name,henry,44,0.6772486772486772,20,0.4222222222222222,0.0,0.0
hasparticipantrole,deceased person,ossian,"flipper, 'henry')",33,0.5462962962962963,25,0.4732026143790849,0.0,0.0
hasparticipantrole,deceased person,relationship record,module:,38,0.5994152046783626,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,has_interagent_relationship_type,relationship_type,44,0.65625,31,0.530905695611578,0.0,0.0
hasparticipantrole,deceased person,has_interagent_relationship_type,subordinate,44,0.65625,23,0.4601010101010101,0.0,0.0
hasparticipantrole,deceased person,ossian,"flipper, 'subordinate')",33,0.5462962962962963,32,0.5156199677938809,0.0,0.0
hasparticipantrole,deceased person,is_relationship_to,agent,44,0.6037037037037037,30,0.3444444444444444,0.0,0.0
hasparticipantrole,deceased person,is_relationship_to,captain nicholas m. nolan,44,0.6037037037037037,30,0.486984126984127,0.0,0.0
hasparticipantrole,deceased person,ossian,"flipper, 'captain nicholas m. nolan')",33,0.5462962962962963,27,0.5033033033033033,0.0,0.0
hasparticipantrole,deceased person,role record,module:,28,0.4452861952861953,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,has_participant_role,participant_role_type,95,0.9766666666666667,28,0.5047619047619047,0.0,0.0
hasparticipantrole,deceased person,has_participant_role,officer,95,0.9766666666666667,27,0.4317460317460317,0.0,0.0
hasparticipantrole,deceased person,ossian,"flipper, 'officer')",33,0.5462962962962963,24,0.4052631578947368,0.0,0.0
hasparticipantrole,deceased person,record,module:,25,0.48148148148148145,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,has_occupation,occupation,50,0.6566137566137565,32,0.5444444444444444,0.0,0.0
hasparticipantrole,deceased person,has_occupation,cavalry officer,50,0.6566137566137565,33,0.48888888888888893,0.0,0.0
hasparticipantrole,deceased person,has_occupation,engineer,50,0.6566137566137565,35,0.5888888888888889,0.0,0.0
hasparticipantrole,deceased person,ossian,"flipper, 'cavalry officer'), has_occupation(henry ossian flipper, 'engineer')",33,0.5462962962962963,24,0.47388167388167385,0.0,0.0
hasparticipantrole,deceased person,status record,module:,39,0.4995929995929996,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,has_person_status,dismissed,46,0.6479302832244008,33,0.562962962962963,0.0,0.0
hasparticipantrole,deceased person,ossian,"flipper, 'dismissed')",33,0.5462962962962963,22,0.513095238095238,0.0,0.0
hasparticipantrole,deceased person,record,module:,25,0.48148148148148145,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,has_race_or_color,race_or_color,46,0.60239651416122,29,0.505982905982906,0.0,0.0
hasparticipantrole,deceased person,has_race_or_color,nonwhite,46,0.60239651416122,17,0.3972222222222222,0.0,0.0
hasparticipantrole,deceased person,ossian,"flipper, 'nonwhite')",33,0.5462962962962963,29,0.46269841269841266,0.0,0.0
hasparticipantrole,deceased person,text does not provide explicit information about the,"agent's sex, age, birth date, death date, ethnolinguistic descriptor, or specific events related to the agent's status. therefore, these ontology modules cannot be populated based on the provided text.",29,0.5156695156695157,13,0.5804311774461027,0.0,0.0
hasdescriptiveoccupation,slave,on the provided,"text, the following ontology can be populated:",26,0.561111111111111,12,0.3144927536231884,0.0,0.0
hasdescriptiveoccupation,slave,record,module:,27,0.6138888888888889,33,0.44761904761904764,0.0,0.0
hasdescriptiveoccupation,slave,has_name,name,25,0.5555555555555555,44,0.6333333333333333,0.0,0.0
hasdescriptiveoccupation,slave,has_name,henry ossian flipper,25,0.5555555555555555,24,0.47222222222222215,0.0,0.0
hasdescriptiveoccupation,slave,ossian,"flipper, 'henry ossian flipper')",33,0.5277777777777778,16,0.4875,0.0,0.0
hasdescriptiveoccupation,slave,has_surname,surname,34,0.5474386724386724,50,0.6761904761904761,0.0,0.0
hasdescriptiveoccupation,slave,has_surname,flipper,34,0.5474386724386724,33,0.5619047619047619,0.0,0.0
hasdescriptiveoccupation,slave,ossian,"flipper, 'flipper')",33,0.5277777777777778,17,0.5017543859649123,0.0,0.0
hasdescriptiveoccupation,slave,has_first_name,first_name,32,0.5615079365079364,40,0.43333333333333335,0.0,0.0
hasdescriptiveoccupation,slave,has_first_name,henry,32,0.5615079365079364,20,0.0,0.0,0.0
hasdescriptiveoccupation,slave,ossian,"flipper, 'henry')",33,0.5277777777777778,18,0.5058823529411764,0.0,0.0
hasdescriptiveoccupation,slave,relationship record,module:,33,0.6137539361223572,33,0.44761904761904764,0.0,0.0
hasdescriptiveoccupation,slave,has_interagent_relationship_type,relationship_type,43,0.5868055555555555,27,0.48104575163398694,0.0,0.0
hasdescriptiveoccupation,slave,has_interagent_relationship_type,subordinate,43,0.5868055555555555,38,0.43030303030303035,0.0,0.0
