TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Olaudah Equiano,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Olaudah Equiano,instance of,Person,1. hasNameVariant,"hasNameVariant(Olaudah Equiano, ""Olaudah Equiano"")",21,22,0.4496434937611408,0.0,14,17,0.4988888888888889,0.0
Olaudah Equiano,instance of,Person,2. hasPreferredNameVariant,"hasPreferredNameVariant(Olaudah Equiano, ""Gustavus Vassa"")",16,17,0.4822843822843823,0.0,12,13,0.5731800766283525,0.0
Olaudah Equiano,instance of,Person,3. fullNameAsString,"string): fullNameAsString(Olaudah Equiano, ""Olaudah Equiano"")",20,28,0.35805422647527907,0.0,12,18,0.49408014571948994,0.0
Olaudah Equiano,instance of,Person,4. hasSurnameAsString,"string): hasSurnameAsString(Olaudah Equiano, ""Equiano"")",25,26,0.43088023088023086,0.0,13,21,0.49646464646464644,0.0
Olaudah Equiano,instance of,Person,5. hasFirstnameAsString,"string): hasFirstnameAsString(Olaudah Equiano, ""Olaudah"")",29,30,0.5040466779597215,0.0,10,20,0.49561403508771934,0.0
Olaudah Equiano,instance of,Person,Description Module,,34,34,0.5989057239057239,0.0,0,0,0.0,0.0
Olaudah Equiano,instance of,Person,1. hasDescription,"hasDescription(Olaudah Equiano, ""Enslaved. Free before the 13th Amendment. A leading figure in the British abolitionist movement, a writer whose autobiography fueled the anti-slavery movement, and a spokesman for the black community."")",21,22,0.5772430184194891,0.0,4,6,0.5515366430260048,0.0
Olaudah Equiano,instance of,Person,Origin Record Module,,32,26,0.5595959595959595,0.0,0,0,0.0,0.0
Olaudah Equiano,instance of,Person,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(Olaudah Equiano, ""Igbo village of Essaka in modern southern Nigeria"")",29,41,0.4998196248196248,0.0,12,13,0.5775335775335776,0.0
Olaudah Equiano,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
