TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Lott Cary,hasDescription,"Enslaved. Free before 13th Amendment. A Baptist preacher who served as a missionary in Liberia and in 1828 was appointed acting governor of the more than 1,200 settlers.",90,100,0.9411764705882352,1.0,44,80,0.6558510046245764,0.4082295899185991
Lott Cary,hasDescriptiveOccupation,Baptist Clergy,68,70,0.8022875816993463,0.0,36,67,0.5935449735449736,0.1414305679255449
Lott Cary,hasDescriptiveOccupation,Missionary,68,70,0.8022875816993463,0.0,29,100,0.5720930232558139,0.2439557250000634
Lott Cary,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,20,31,0.5372093023255814,0.0
Lott Cary,hasFirstName,Lott,63,71,0.7983091787439612,0.0,28,100,0.7200000000000001,0.6348087971775132
Lott Cary,hasName,Lott Cary,58,61,0.8039215686274509,0.0,53,100,0.6755555555555555,0.8955324150715727
Lott Cary,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,13,28,0.603875968992248,0.0
Lott Cary,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,26,57,0.5739952718676123,0.1272589870097525
Lott Cary,hasSex,Male,80,100,0.8888888888888888,1.0,28,100,0.5997267759562842,0.3799783615910079
Lott Cary,hasSurname,Cary,65,67,0.8253968253968255,0.0,28,100,0.6175213675213675,0.6348087971775132
Lott Cary,instance of,Person,36,41,0.5989057239057239,0.0,17,100,0.5981087470449172,0.2195109508086083
