TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Peter Barrow,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Peter Barrow,instance of,Person,1. has_Name,"has_Name(Peter Barnabas Barrow, ""Peter Barnabas Barrow"")",27,29,0.404040404040404,0.0,19,22,0.5912698412698413,0.0
Peter Barrow,instance of,Person,2. has_Surname,"has_Surname(Peter Barnabas Barrow, ""Barrow"")",24,25,0.47056277056277057,0.0,20,21,0.5156565656565656,0.0
Peter Barrow,instance of,Person,3. has_First_Name,"has_First_Name(Peter Barnabas Barrow, ""Peter"").",36,37,0.3719548425430778,0.0,19,19,0.5132387706855792,0.0
Peter Barrow,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
Peter Barrow,instance of,Person,1. has_Participant_Role,"has_Participant_Role(Peter Barnabas Barrow, ""Mississippi Senate and House of Representatives""), has_Participant_Role(Peter Barnabas Barrow, ""Pastor at the Calvary Baptist Church"").",29,30,0.4239789196310935,0.0,6,8,0.5666666666666668,0.0
Peter Barrow,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Peter Barrow,instance of,Person,1. has_Sex,"has_Sex(Peter Barnabas Barrow, ""Male"").",19,20,0.41313131313131307,0.0,22,15,0.5871794871794872,0.0
Peter Barrow,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Peter Barrow,instance of,Person,1. has_Occupation,"has_Occupation(Peter Barnabas Barrow, ""Slave, Soldier, State Legislator, Minister, Apple Orchard Owner"").",21,22,0.5162210338680927,0.0,11,12,0.5190476190476191,0.0
Peter Barrow,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Peter Barrow,instance of,Person,1. has_Age,"has_Age(Peter Barnabas Barrow, 66)",19,30,0.41313131313131307,0.0,25,16,0.5934640522875817,0.0
Peter Barrow,instance of,Person,2. has_BirthDate,"has_BirthDate(Peter Barnabas Barrow, ""1840"")",30,31,0.37121212121212127,0.0,20,13,0.5156565656565656,0.0
Peter Barrow,instance of,Person,3. has_DeathDate,"has_DeathDate(Peter Barnabas Barrow, ""1906"").",30,31,0.45568181818181824,0.0,20,13,0.5814814814814815,0.0
Peter Barrow,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Peter Barrow,instance of,Person,1. has_Person_Status,"has_Person_Status(Peter Barnabas Barrow, ""Enslaved Person, Soldier, State Legislator, Minister"")",19,27,0.5040404040404041,0.0,12,100,0.5763888888888888,0.23076792961123066
Peter Barrow,instance of,Person,2. has_Status_Generating_Event,"has_Status_Generating_Event(Enslaved Person, ""Freed by the Union Army in 1864""), has_Status_Generating_Event(Soldier, ""Freed by the Union Army in 1864""), has_Status_Generating_Event(State Legislator, ""Freed by the Union Army in 1864""), has_Status_Generating_Event(Minister, ""Freed by the Union Army in 1864"").",24,25,0.4707070707070707,0.0,4,100,0.5620280474649406,0.06157850526540978
Peter Barrow,hasSex,Male,Name Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
Peter Barrow,hasSex,Male,1. has_Name,"has_Name(Peter Barnabas Barrow, ""Peter Barnabas Barrow"")",47,50,0.5909090909090909,0.0,7,12,0.5119047619047619,0.0
Peter Barrow,hasSex,Male,2. has_Surname,"has_Surname(Peter Barnabas Barrow, ""Barrow"")",50,53,0.6507936507936508,0.0,8,11,0.5151515151515151,0.0
Peter Barrow,hasSex,Male,3. has_First_Name,"has_First_Name(Peter Barnabas Barrow, ""Peter"").",35,45,0.5588235294117647,0.0,8,10,0.5141843971631205,0.0
Peter Barrow,hasSex,Male,Participant Role Record Module,,11,11,0.4666666666666666,0.0,0,0,0.0,0.0
Peter Barrow,hasSex,Male,1. has_Participant_Role,"has_Participant_Role(Peter Barnabas Barrow, ""Mississippi Senate and House of Representatives""), has_Participant_Role(Peter Barnabas Barrow, ""Pastor at the Calvary Baptist Church"").",28,29,0.5434782608695653,0.0,4,5,0.5074074074074074,0.0
Peter Barrow,hasSex,Male,Sex Record Module,,26,26,0.5588235294117647,0.0,0,0,0.0,0.0
Peter Barrow,hasSex,Male,1. has_Sex,"has_Sex(Peter Barnabas Barrow, ""Male"").",75,80,0.8666666666666667,0.0,19,100,0.5170940170940171,0.33517574332792605
Peter Barrow,hasSex,Male,Occupation Record Module,,13,13,0.47222222222222215,0.0,0,0,0.0,0.0
Peter Barrow,hasSex,Male,1. has_Occupation,"has_Occupation(Peter Barnabas Barrow, ""Slave, Soldier, State Legislator, Minister, Apple Orchard Owner"").",26,27,0.5588235294117647,0.0,6,8,0.48174603174603176,0.0
Peter Barrow,hasSex,Male,Age Record Module,,9,17,0.40849673202614384,0.0,0,0,0.0,0.0
Peter Barrow,hasSex,Male,1. has_Age,"has_Age(Peter Barnabas Barrow, 66)",50,53,0.6,0.0,11,11,0.5196078431372549,0.0
Peter Barrow,hasSex,Male,2. has_BirthDate,"has_BirthDate(Peter Barnabas Barrow, ""1840"")",36,38,0.5625,0.0,8,9,0.5151515151515151,0.0
Peter Barrow,hasSex,Male,3. has_DeathDate,"has_DeathDate(Peter Barnabas Barrow, ""1906"").",36,38,0.6388888888888888,0.0,8,9,0.5148148148148147,0.0
Peter Barrow,hasSex,Male,Person Status Record Module,,18,12,0.5216049382716049,0.0,0,0,0.0,0.0
Peter Barrow,hasSex,Male,1. has_Person_Status,"has_Person_Status(Peter Barnabas Barrow, ""Enslaved Person, Soldier, State Legislator, Minister"")",31,32,0.6222222222222222,0.0,6,6,0.48263888888888884,0.0
Peter Barrow,hasSex,Male,2. has_Status_Generating_Event,"has_Status_Generating_Event(Enslaved Person, ""Freed by the Union Army in 1864""), has_Status_Generating_Event(Soldier, ""Freed by the Union Army in 1864""), has_Status_Generating_Event(State Legislator, ""Freed by the Union Army in 1864""), has_Status_Generating_Event(Minister, ""Freed by the Union Army in 1864"").",28,29,0.6666666666666666,0.0,2,7,0.47545846817691473,0.0
Peter Barrow,hasParticipantRole,Child,Name Record Module,,28,22,0.5,0.0,0,0,0.0,0.0
Peter Barrow,hasParticipantRole,Child,1. has_Name,"has_Name(Peter Barnabas Barrow, ""Peter Barnabas Barrow"")",34,36,0.5774410774410774,0.0,3,6,0.405952380952381,0.0
Peter Barrow,hasParticipantRole,Child,2. has_Surname,"has_Surname(Peter Barnabas Barrow, ""Barrow"")",38,39,0.582010582010582,0.0,4,5,0.40757575757575754,0.0
Peter Barrow,hasParticipantRole,Child,3. has_First_Name,"has_First_Name(Peter Barnabas Barrow, ""Peter"").",40,41,0.596677559912854,0.0,8,10,0.4808510638297872,0.0
Peter Barrow,hasParticipantRole,Child,Participant Role Record Module,,62,62,0.688888888888889,0.0,0,0,0.0,0.0
Peter Barrow,hasParticipantRole,Child,1. has_Participant_Role,"has_Participant_Role(Peter Barnabas Barrow, ""Mississippi Senate and House of Representatives""), has_Participant_Role(Peter Barnabas Barrow, ""Pastor at the Calvary Baptist Church"").",88,90,0.927536231884058,0.0,4,6,0.6074074074074075,0.0
Peter Barrow,hasParticipantRole,Child,Sex Record Module,,23,23,0.4572984749455338,0.0,0,0,0.0,0.0
Peter Barrow,hasParticipantRole,Child,1. has_Sex,"has_Sex(Peter Barnabas Barrow, ""Male"").",29,30,0.48888888888888893,0.0,9,10,0.4085470085470086,0.0
Peter Barrow,hasParticipantRole,Child,Occupation Record Module,,38,33,0.5686026936026937,0.0,0,0,0.0,0.0
Peter Barrow,hasParticipantRole,Child,1. has_Occupation,"has_Occupation(Peter Barnabas Barrow, ""Slave, Soldier, State Legislator, Minister, Apple Orchard Owner"").",46,47,0.6145969498910675,0.0,7,8,0.6126984126984127,0.0
Peter Barrow,hasParticipantRole,Child,Age Record Module,,23,23,0.4572984749455338,0.0,0,0,0.0,0.0
Peter Barrow,hasParticipantRole,Child,1. has_Age,"has_Age(Peter Barnabas Barrow, 66)",29,37,0.5407407407407407,0.0,5,5,0.4098039215686275,0.0
Peter Barrow,hasParticipantRole,Child,2. has_BirthDate,"has_BirthDate(Peter Barnabas Barrow, ""1840"")",47,48,0.6504629629629629,0.0,8,13,0.48181818181818187,0.0
Peter Barrow,hasParticipantRole,Child,3. has_DeathDate,"has_DeathDate(Peter Barnabas Barrow, ""1906"").",47,48,0.6481481481481481,0.0,4,9,0.40740740740740744,0.0
Peter Barrow,hasParticipantRole,Child,Person Status Record Module,,40,22,0.5648148148148149,0.0,0,0,0.0,0.0
Peter Barrow,hasParticipantRole,Child,1. has_Person_Status,"has_Person_Status(Peter Barnabas Barrow, ""Enslaved Person, Soldier, State Legislator, Minister"")",42,43,0.6597643097643098,0.0,6,9,0.5437500000000001,0.0
Peter Barrow,hasParticipantRole,Child,2. has_Status_Generating_Event,"has_Status_Generating_Event(Enslaved Person, ""Freed by the Union Army in 1864""), has_Status_Generating_Event(Soldier, ""Freed by the Union Army in 1864""), has_Status_Generating_Event(State Legislator, ""Freed by the Union Army in 1864""), has_Status_Generating_Event(Minister, ""Freed by the Union Army in 1864"").",38,38,0.5683501683501684,0.0,3,7,0.6043149946062568,0.0
Peter Barrow,hasParticipantRole,Deceased Person,Name Record Module,,28,22,0.5,0.0,0,0,0.0,0.0
Peter Barrow,hasParticipantRole,Deceased Person,1. has_Name,"has_Name(Peter Barnabas Barrow, ""Peter Barnabas Barrow"")",34,36,0.5774410774410774,0.0,28,31,0.5603174603174602,0.0
