TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Mary Prince,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Mary Prince,instance of,Person,1. has_Name,"has_Name(Mary Prince, ""Mary Prince"")",27,29,0.404040404040404,0.0,19,23,0.5907407407407408,0.0
Mary Prince,instance of,Person,2. has_Surname,"has_Surname(Mary Prince, ""Prince"")",24,25,0.47056277056277057,0.0,20,21,0.511437908496732,0.0
Mary Prince,instance of,Person,3. has_First_Name,"has_First_Name(Mary Prince, ""Mary"").",36,37,0.3719548425430778,0.0,14,19,0.4166666666666667,0.0
Mary Prince,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Mary Prince,instance of,Person,1. has_Sex,"has_Sex(Mary Prince, ""Female"").",19,20,0.41313131313131307,0.0,16,19,0.5982078853046595,0.0
Mary Prince,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Mary Prince,instance of,Person,1. has_Occupation,"has_Occupation(Mary Prince, ""Slave, Author"").",21,22,0.5162210338680927,0.0,12,18,0.5148148148148147,0.0
Mary Prince,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Mary Prince,instance of,Person,1. has_Age,"has_Age(Mary Prince, ""Unknown"")",19,30,0.41313131313131307,0.0,22,24,0.5982078853046595,0.0
Mary Prince,instance of,Person,2. has_BirthDate,"has_BirthDate(Mary Prince, ""October 1, 1788"").",30,31,0.37121212121212127,0.0,12,17,0.5140096618357488,0.0
Mary Prince,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Mary Prince,instance of,Person,1. has_Race_or_Color,"has_Race_or_Color(Mary Prince, ""African descent"").",32,33,0.5040404040404041,0.0,18,16,0.5955555555555555,0.0
Mary Prince,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Mary Prince,instance of,Person,1. has_Person_Status,"has_Person_Status(Mary Prince, ""Enslaved Person, Author"")",19,27,0.5040404040404041,0.0,19,100,0.5906432748538011,0.3032160644503863
Mary Prince,instance of,Person,2. has_Status_Generating_Event,"has_Status_Generating_Event(Enslaved Person, ""Sold multiple times""), has_Status_Generating_Event(Author, ""Publication of her autobiography"").",24,25,0.4707070707070707,0.0,8,100,0.5697399527186762,0.19360324687858615
Mary Prince,instance of,Person,3. recorded_At,"recorded_At(Enslaved Person, ""Sold multiple times""), recorded_At(Author, ""Publication of her autobiography"").",16,17,0.46645021645021645,0.0,10,100,0.5739041794087666,0.19360324687858615
Mary Prince,hasSex,Female,Name Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
Mary Prince,hasSex,Female,1. has_Name,"has_Name(Mary Prince, ""Mary Prince"")",47,50,0.5909090909090909,0.0,14,31,0.5092592592592592,0.0
Mary Prince,hasSex,Female,2. has_Surname,"has_Surname(Mary Prince, ""Prince"")",50,53,0.6507936507936508,0.0,15,28,0.41830065359477125,0.0
Mary Prince,hasSex,Female,3. has_First_Name,"has_First_Name(Mary Prince, ""Mary"").",35,45,0.5588235294117647,0.0,19,31,0.5092592592592592,0.0
Mary Prince,hasSex,Female,Sex Record Module,,26,26,0.5588235294117647,0.0,0,0,0.0,0.0
Mary Prince,hasSex,Female,1. has_Sex,"has_Sex(Mary Prince, ""Female"").",75,80,0.8666666666666667,0.0,32,100,0.4211469534050179,0.3799783615910079
Mary Prince,hasSex,Female,Occupation Record Module,,13,13,0.47222222222222215,0.0,0,0,0.0,0.0
Mary Prince,hasSex,Female,1. has_Occupation,"has_Occupation(Mary Prince, ""Slave, Author"").",26,27,0.5588235294117647,0.0,12,18,0.45925925925925926,0.0
Mary Prince,hasSex,Female,Age Record Module,,9,17,0.40849673202614384,0.0,0,0,0.0,0.0
Mary Prince,hasSex,Female,1. has_Age,"has_Age(Mary Prince, ""Unknown"")",50,53,0.6,0.0,16,24,0.4211469534050179,0.0
