Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,johnson chesnut whittaker,32,0.537878787878788,19,0.44222222222222224,0.0,0.0
instance of,person,chesnut,"whittaker, 'johnson chesnut whittaker')",22,0.45598845598845594,22,0.5871794871794872,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,whittaker,27,0.49242424242424243,27,0.0,0.0,0.0
instance of,person,chesnut,"whittaker, 'whittaker')",22,0.45598845598845594,14,0.4734299516908213,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,johnson,40,0.5692640692640693,46,0.5317460317460317,0.0,0.0
instance of,person,chesnut,"whittaker, 'johnson')",22,0.45598845598845594,37,0.5476190476190476,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type,relationship_type,33,0.5340909090909091,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type,friend,33,0.5340909090909091,33,0.5555555555555555,0.0,0.0
instance of,person,chesnut,"whittaker, 'friend')",22,0.45598845598845594,23,0.4777777777777778,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,richard greener,34,0.5798460798460798,19,0.41111111111111115,0.0,0.0
instance of,person,chesnut,"whittaker, 'richard greener')",22,0.45598845598845594,17,0.46743295019157083,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,defendant,32,0.5668831168831169,27,0.5185185185185185,0.0,0.0
instance of,person,chesnut,"whittaker, 'defendant')",22,0.45598845598845594,21,0.4734299516908213,0.0,0.0
instance of,person,role_provided_by,event,15,0.4356060606060606,36,0.5777777777777778,0.0,0.0
instance of,person,role_provided_by,court martial of johnson whittaker,15,0.4356060606060606,20,0.41830065359477125,0.0,0.0
instance of,person,martial of johnson,whittaker'),34,0.5707070707070706,24,0.0,0.2605556710562624,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,male,22,0.45598845598845594,20,0.47222222222222215,0.0,0.0
instance of,person,chesnut,"whittaker, 'male')",22,0.45598845598845594,17,0.48148148148148145,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,teacher,24,0.38311688311688313,31,0.4365079365079365,0.0,0.0
instance of,person,has_occupation,lawyer,24,0.38311688311688313,33,0.0,0.0,0.0
instance of,person,has_occupation,high school principal,24,0.38311688311688313,22,0.4761904761904762,0.0,0.0
instance of,person,has_occupation,psychology professor,24,0.38311688311688313,31,0.5499999999999999,0.0,0.0
instance of,person,chesnut,"whittaker, 'teacher, lawyer, high school principal, psychology professor')",22,0.45598845598845594,12,0.5735735735735735,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,august 23,33,0.5463869463869464,13,0.4259259259259259,0.0,0.0
instance of,person,has_birthdate,1858,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,chesnut,"whittaker, 'august 23, 1858')",22,0.45598845598845594,17,0.5344827586206896,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,has_deathdate,january 14,33,0.39044289044289043,12,0.3444444444444444,0.0,0.0
instance of,person,has_deathdate,1931,33,0.39044289044289043,0,0.0,0.0,0.0
instance of,person,chesnut,"whittaker, 'january 14, 1931')",22,0.45598845598845594,17,0.5333333333333333,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
