TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Briton Hammon,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Briton Hammon,instance of,Person,1. has_Name,"has_Name(Briton Hammon, ""Briton Hammon"")",27,29,0.404040404040404,0.0,17,21,0.5861111111111111,0.0
Briton Hammon,instance of,Person,2. has_Surname,"has_Surname(Briton Hammon, ""Hammon"")",24,25,0.47056277056277057,0.0,19,19,0.5240740740740741,0.0
Briton Hammon,instance of,Person,3. has_First_Name,"has_First_Name(Briton Hammon, ""Briton"").",36,37,0.3719548425430778,0.0,17,18,0.5861111111111111,0.0
Briton Hammon,instance of,Person,Interagent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Briton Hammon,instance of,Person,1. has_Interagent_Relationship_Type_To,"has_Interagent_Relationship_Type_To(Briton Hammon, ""Enslaver or Owner"")",24,29,0.520933014354067,0.0,13,14,0.5012519561815337,0.0
Briton Hammon,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Briton Hammon,instance of,Person,1. has_Sex,"has_Sex(Briton Hammon, ""Male"").",19,20,0.41313131313131307,0.0,22,19,0.5982078853046595,0.0
Briton Hammon,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Briton Hammon,instance of,Person,1. has_Occupation,"has_Occupation(Briton Hammon, ""Slave, Sailor, Autobiographer"").",21,22,0.5162210338680927,0.0,9,19,0.41005291005291006,0.0
Briton Hammon,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Briton Hammon,instance of,Person,1. has_Race_or_Color,"has_Race_or_Color(Briton Hammon, ""African"").",32,33,0.5040404040404041,0.0,16,13,0.5156565656565656,0.0
Briton Hammon,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Briton Hammon,instance of,Person,1. has_Person_Status,"has_Person_Status(Briton Hammon, ""Enslaved Person, Free Man"")",19,27,0.5040404040404041,0.0,18,100,0.5883424408014571,0.2789425453258252
