TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Briton Hammon,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Briton Hammon,instance of,Person,1. hasNameVariant,"hasNameVariant(Briton Hammon, ""Briton Hammon"")",21,22,0.4496434937611408,0.0,15,18,0.5140096618357488,0.0
Briton Hammon,instance of,Person,2. hasPreferredNameVariant,"hasPreferredNameVariant(Briton Hammon, ""Briton Hammon"")",16,17,0.4822843822843823,0.0,16,19,0.591919191919192,0.0
Briton Hammon,instance of,Person,3. fullNameAsString,"string): fullNameAsString(Briton Hammon, ""Briton Hammon"")",20,28,0.35805422647527907,0.0,13,19,0.5070175438596491,0.0
Briton Hammon,instance of,Person,4. hasSurnameAsString,"string): hasSurnameAsString(Briton Hammon, ""Hammon"")",25,26,0.43088023088023086,0.0,14,18,0.49786324786324787,0.0
Briton Hammon,instance of,Person,5. hasFirstnameAsString,"string): hasFirstnameAsString(Briton Hammon, ""Briton"")",29,30,0.5040466779597215,0.0,13,17,0.49691358024691357,0.0
Briton Hammon,instance of,Person,Origin Record Module,,32,26,0.5595959595959595,0.0,0,0,0.0,0.0
Briton Hammon,instance of,Person,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(Briton Hammon, ""Massachusetts"")",29,41,0.4998196248196248,0.0,17,18,0.5932914046121592,0.0
Briton Hammon,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Briton Hammon,instance of,Person,1. has_Race,"has_Race(Briton Hammon, ""African"")",36,38,0.49242424242424243,0.0,20,17,0.5934640522875817,0.0
Briton Hammon,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Briton Hammon,instance of,Person,1. hasBirthDate,"hasBirthDate(Briton Hammon, ""Unknown"")",31,32,0.3767676767676768,0.0,18,20,0.5883040935672516,0.0
Briton Hammon,instance of,Person,2. hasDeathDate,"hasDeathDate(Briton Hammon, ""Unknown"")",31,32,0.46262626262626255,0.0,18,20,0.5883040935672516,0.0
Briton Hammon,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Briton Hammon,instance of,Person,1. hasSex,"hasSex(Briton Hammon, ""Male"")",20,21,0.42424242424242414,0.0,23,19,0.6019157088122605,0.0
Briton Hammon,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Briton Hammon,instance of,Person,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(Briton Hammon, ""enslavement"")",27,28,0.4809634809634809,0.0,14,15,0.5092243186582809,0.0
