Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,predicate,object,30,0.6033670033670034,17,0.4444444444444444,0.0,0.0
instance of,person,has_name,,32,0.537878787878788,0,0.0,0.0,0.0
instance of,person,has_surname,,27,0.49242424242424243,0,0.0,0.0,0.0
instance of,person,has_first_name,,40,0.5692640692640693,0,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type,,33,0.5340909090909091,0,0.0,0.0,0.0
instance of,person,is_relationship_to,,34,0.5798460798460798,0,0.0,0.0,0.0
instance of,person,has_person_status,,29,0.449554367201426,0,0.0,0.0,0.0
instance of,person,has_occupation,,24,0.38311688311688313,0,0.0,0.0,0.0
hasname,mary black,predicate,object,25,0.5026455026455027,25,0.5111111111111111,0.0,0.0
hasname,mary black,has_name,,93,0.9708333333333333,0,0.0,0.0,0.0
hasname,mary black,has_surname,,78,0.9151515151515152,0,0.0,0.0,0.0
hasname,mary black,has_first_name,,67,0.5476190476190476,0,0.0,0.0,0.0
hasname,mary black,has_interagent_relationship_type,,31,0.6259920634920636,0,0.0,0.0,0.0
hasname,mary black,is_relationship_to,,16,0.43121693121693117,0,0.0,0.0,0.0
hasname,mary black,has_person_status,,42,0.6028011204481792,0,0.0,0.0,0.0
hasname,mary black,has_occupation,,38,0.6190476190476191,0,0.0,0.0,0.0
hassex,female,predicate,object,27,0.4259259259259259,17,0.4444444444444444,0.0,0.0
hassex,female,has_name,,57,0.8055555555555556,0,0.0,0.0,0.0
hassex,female,has_surname,,59,0.6767676767676768,0,0.0,0.0,0.0
hassex,female,has_first_name,,50,0.6507936507936508,0,0.0,0.0,0.0
hassex,female,has_interagent_relationship_type,,26,0.5972222222222222,0,0.0,0.0,0.0
hassex,female,is_relationship_to,,17,0.46296296296296297,0,0.0,0.0,0.0
hassex,female,has_person_status,,35,0.642483660130719,0,0.0,0.0,0.0
hassex,female,has_occupation,,30,0.5714285714285715,0,0.0,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,predicate,object,26,0.6164021164021164,10,0.5080808080808081,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,has_name,,36,0.5952380952380952,0,0.0,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,has_surname,,48,0.6168831168831169,0,0.0,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,has_first_name,,43,0.6726190476190476,0,0.0,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,has_interagent_relationship_type,,39,0.5755952380952382,0,0.0,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,is_relationship_to,,44,0.6474266474266474,0,0.0,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,has_person_status,,45,0.6675070028011204,0,0.0,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,has_occupation,,64,0.8074074074074075,0,0.0,0.0,0.0
hasparticipantrole,party,predicate,object,52,0.5,18,0.45555555555555555,0.0,0.0
hasparticipantrole,party,has_name,,38,0.5675925925925926,0,0.0,0.0,0.0
hasparticipantrole,party,has_surname,,41,0.6274651274651274,0,0.0,0.0,0.0
hasparticipantrole,party,has_first_name,,44,0.6772486772486772,0,0.0,0.0,0.0
hasparticipantrole,party,has_interagent_relationship_type,,44,0.65625,0,0.0,0.0,0.0
hasparticipantrole,party,is_relationship_to,,44,0.6037037037037037,0,0.0,0.0,0.0
hasparticipantrole,party,has_person_status,,46,0.6479302832244008,0,0.0,0.0,0.0
hasparticipantrole,party,has_occupation,,50,0.6566137566137565,0,0.0,0.0,0.0
hasdescriptiverole,defendant,predicate,object,30,0.6527777777777778,27,0.5185185185185185,0.0,0.0
hasdescriptiverole,defendant,has_name,,31,0.5740740740740741,0,0.0,0.0,0.0
hasdescriptiverole,defendant,has_surname,,41,0.5707070707070706,0,0.0,0.0,0.0
hasdescriptiverole,defendant,has_first_name,,38,0.6302910052910052,0,0.0,0.0,0.0
hasdescriptiverole,defendant,has_interagent_relationship_type,,36,0.5812856125356126,0,0.0,0.0,0.0
hasdescriptiverole,defendant,is_relationship_to,,39,0.5703703703703704,0,0.0,0.0,0.0
hasdescriptiverole,defendant,has_person_status,,40,0.60239651416122,0,0.0,0.0,0.0
hasdescriptiverole,defendant,has_occupation,,50,0.6302910052910052,0,0.0,0.0,0.0
