Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the provided,"text, the following ontology can be populated:",38,0.5292929292929293,12,0.5217391304347826,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,sgt powhatan beaty,32,0.537878787878788,25,0.5462962962962963,0.0,0.0
instance of,person,powhatan,"beaty, 'sgt powhatan beaty')",32,0.43813131313131315,24,0.5198412698412699,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,beaty,27,0.49242424242424243,18,0.45555555555555555,0.0,0.0
instance of,person,powhatan,"beaty, 'beaty')",32,0.43813131313131315,10,0.41111111111111115,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,powhatan,40,0.5692640692640693,43,0.625,0.0,0.0
instance of,person,powhatan,"beaty, 'powhatan')",32,0.43813131313131315,25,0.4444444444444444,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,information provided in the text to populate this,module.,23,0.5561739847454134,15,0.0,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,soldier,32,0.5668831168831169,31,0.0,0.0,0.0
instance of,person,has_participant_role,actor,32,0.5668831168831169,18,0.41111111111111115,0.0,0.0
instance of,person,has_participant_role,drama director,32,0.5668831168831169,20,0.41269841269841273,0.0,0.0
instance of,person,powhatan,"beaty, 'soldier'), has_participant_role(sgt powhatan beaty, 'actor'), has_participant_role(sgt powhatan beaty, 'drama director')",32,0.43813131313131315,9,0.5711805555555555,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,information provided in the text to populate this,module.,23,0.5561739847454134,15,0.0,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,soldier,24,0.38311688311688313,31,0.0,0.0,0.0
instance of,person,has_occupation,actor,24,0.38311688311688313,18,0.41111111111111115,0.0,0.0
instance of,person,has_occupation,drama director,24,0.38311688311688313,20,0.41269841269841273,0.0,0.0
instance of,person,powhatan,"beaty, 'soldier'), has_occupation(sgt powhatan beaty, 'actor'), has_occupation(sgt powhatan beaty, 'drama director')",32,0.43813131313131315,10,0.5727969348659004,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,has_age,79,33,0.45598845598845594,0,0.0,0.0,0.0
instance of,person,powhatan,"beaty, 79)",32,0.43813131313131315,12,0.4222222222222222,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,information provided in the text to populate this,relation.,23,0.5561739847454134,40,0.6203703703703703,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,has_deathdate,december 6,33,0.39044289044289043,25,0.4222222222222222,0.0,0.0
instance of,person,has_deathdate,1916,33,0.39044289044289043,0,0.0,0.0,0.0
instance of,person,powhatan,"beaty, 'december 6, 1916')",32,0.43813131313131315,12,0.40170940170940167,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,information provided in the text to populate this,module.,23,0.5561739847454134,15,0.0,0.0,0.0
instance of,person,descriptor record,module:,29,0.5398523045581869,15,0.0,0.0,0.0
instance of,person,information provided in the text to populate this,module.,23,0.5561739847454134,15,0.0,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,information provided in the text to populate this,module.,23,0.5561739847454134,15,0.0,0.0,0.0
hassex,male,on the provided,"text, the following ontology can be populated:",19,0.48888888888888893,12,0.34782608695652173,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_name,name,57,0.8055555555555556,50,0.6666666666666666,0.0,0.0
hassex,male,has_name,sgt powhatan beaty,57,0.8055555555555556,18,0.4351851851851852,0.0,0.0
hassex,male,powhatan,"beaty, 'sgt powhatan beaty')",29,0.5277777777777778,12,0.35714285714285715,0.0,0.0
hassex,male,has_surname,surname,59,0.6767676767676768,36,0.0,0.0,0.0
hassex,male,has_surname,beaty,59,0.6767676767676768,22,0.48333333333333334,0.0,0.0
hassex,male,powhatan,"beaty, 'beaty')",29,0.5277777777777778,21,0.37777777777777777,0.0,0.0
hassex,male,has_first_name,first_name,50,0.6507936507936508,29,0.0,0.0,0.0
hassex,male,has_first_name,powhatan,50,0.6507936507936508,17,0.4583333333333333,0.0,0.0
hassex,male,powhatan,"beaty, 'powhatan')",29,0.5277777777777778,9,0.3703703703703704,0.0,0.0
hassex,male,relationship record,module:,24,0.44152046783625726,55,0.7535714285714287,0.0,0.0
hassex,male,information provided in the text to populate this,module.,11,0.4580498866213152,55,0.7535714285714287,0.0,0.0
hassex,male,role record,module:,12,0.41919191919191917,55,0.7535714285714287,0.0,0.0
hassex,male,has_participant_role,participant_role_type,31,0.5499999999999999,24,0.43253968253968256,0.0,0.0
hassex,male,has_participant_role,soldier,31,0.5499999999999999,36,0.5952380952380952,0.0,0.0
hassex,male,has_participant_role,actor,31,0.5499999999999999,22,0.48333333333333334,0.0,0.0
hassex,male,has_participant_role,drama director,31,0.5499999999999999,33,0.5436507936507936,0.0,0.0
hassex,male,powhatan,"beaty, 'soldier'), has_participant_role(sgt powhatan beaty, 'actor'), has_participant_role(sgt powhatan beaty, 'drama director')",29,0.5277777777777778,5,0.48003472222222215,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,information provided in the text to populate this,module.,11,0.4580498866213152,55,0.7535714285714287,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_occupation,occupation,30,0.5714285714285715,14,0.45,0.0,0.0
hassex,male,has_occupation,soldier,30,0.5714285714285715,36,0.5952380952380952,0.0,0.0
hassex,male,has_occupation,actor,30,0.5714285714285715,22,0.48333333333333334,0.0,0.0
hassex,male,has_occupation,drama director,30,0.5714285714285715,33,0.5436507936507936,0.0,0.0
hassex,male,powhatan,"beaty, 'soldier'), has_occupation(sgt powhatan beaty, 'actor'), has_occupation(sgt powhatan beaty, 'drama director')",29,0.5277777777777778,5,0.48084291187739464,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_age,age,62,0.8222222222222222,57,0.7222222222222222,0.0,0.0
hassex,male,has_age,79,62,0.8222222222222222,0,0.0,0.0,0.0
hassex,male,powhatan,"beaty, 79)",29,0.5277777777777778,14,0.39999999999999997,0.0,0.0
hassex,male,has_birthdate,date_of_birth,42,0.576923076923077,24,0.5512820512820512,0.0,0.0
hassex,male,information provided in the text to populate this,relation.,11,0.4580498866213152,15,0.5833333333333334,0.0,0.0
hassex,male,has_deathdate,date_of_death,42,0.6581196581196581,24,0.5512820512820512,0.0,0.0
hassex,male,has_deathdate,december 6,42,0.6581196581196581,29,0.39999999999999997,0.0,0.0
hassex,male,has_deathdate,1916,42,0.6581196581196581,0,0.0,0.0,0.0
hassex,male,powhatan,"beaty, 'december 6, 1916')",29,0.5277777777777778,13,0.5106837606837606,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,information provided in the text to populate this,module.,11,0.4580498866213152,55,0.7535714285714287,0.0,0.0
hassex,male,descriptor record,module:,17,0.31699346405228757,55,0.7535714285714287,0.0,0.0
hassex,male,information provided in the text to populate this,module.,11,0.4580498866213152,55,0.7535714285714287,0.0,0.0
hassex,male,status record,module:,32,0.5747863247863249,55,0.7535714285714287,0.0,0.0
hassex,male,information provided in the text to populate this,module.,11,0.4580498866213152,55,0.7535714285714287,0.0,0.0
hasparticipantrole,child,on the provided,"text, the following ontology can be populated:",30,0.4756613756613757,16,0.44396135265700476,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_name,name,38,0.5675925925925926,0,0.0,0.0,0.0
hasparticipantrole,child,has_name,sgt powhatan beaty,38,0.5675925925925926,9,0.4185185185185185,0.0,0.0
hasparticipantrole,child,powhatan,"beaty, 'sgt powhatan beaty')",38,0.5833333333333334,6,0.0,0.0,0.0
hasparticipantrole,child,has_surname,surname,41,0.6274651274651274,0,0.0,0.0,0.0
hasparticipantrole,child,has_surname,beaty,41,0.6274651274651274,0,0.0,0.0,0.0
hasparticipantrole,child,powhatan,"beaty, 'beaty')",38,0.5833333333333334,0,0.0,0.0,0.0
hasparticipantrole,child,has_first_name,first_name,44,0.6772486772486772,13,0.43333333333333335,0.0,0.0
hasparticipantrole,child,has_first_name,powhatan,44,0.6772486772486772,15,0.44166666666666665,0.0,0.0
hasparticipantrole,child,powhatan,"beaty, 'powhatan')",38,0.5833333333333334,9,0.0,0.0,0.0
hasparticipantrole,child,relationship record,module:,38,0.5994152046783626,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,information provided in the text to populate this,module.,30,0.46035181749467463,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,role record,module:,28,0.4452861952861953,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_participant_role,participant_role_type,95,0.9766666666666667,23,0.33174603174603173,0.0,0.0
hasparticipantrole,child,has_participant_role,soldier,95,0.9766666666666667,33,0.565079365079365,0.0,0.0
hasparticipantrole,child,has_participant_role,actor,95,0.9766666666666667,20,0.4666666666666666,0.0,0.0
hasparticipantrole,child,has_participant_role,drama director,95,0.9766666666666667,11,0.34761904761904766,0.0,0.0
hasparticipantrole,child,powhatan,"beaty, 'soldier'), has_participant_role(sgt powhatan beaty, 'actor'), has_participant_role(sgt powhatan beaty, 'drama director')",38,0.5833333333333334,8,0.5463541666666667,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,information provided in the text to populate this,module.,30,0.46035181749467463,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_occupation,occupation,50,0.6566137566137565,27,0.43333333333333335,0.0,0.0
hasparticipantrole,child,has_occupation,soldier,50,0.6566137566137565,33,0.565079365079365,0.0,0.0
hasparticipantrole,child,has_occupation,actor,50,0.6566137566137565,20,0.4666666666666666,0.0,0.0
hasparticipantrole,child,has_occupation,drama director,50,0.6566137566137565,11,0.34761904761904766,0.0,0.0
hasparticipantrole,child,powhatan,"beaty, 'soldier'), has_occupation(sgt powhatan beaty, 'actor'), has_occupation(sgt powhatan beaty, 'drama director')",38,0.5833333333333334,7,0.5477011494252874,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_age,age,40,0.5978835978835978,0,0.0,0.0,0.0
hasparticipantrole,child,has_age,79,40,0.5978835978835978,0,0.0,0.0,0.0
hasparticipantrole,child,powhatan,"beaty, 79)",38,0.5833333333333334,0,0.0,0.0,0.0
hasparticipantrole,child,has_birthdate,date_of_birth,52,0.6937321937321936,11,0.4256410256410256,0.0,0.0
hasparticipantrole,child,information provided in the text to populate this,relation.,30,0.46035181749467463,14,0.37407407407407406,0.0,0.0
hasparticipantrole,child,has_deathdate,date_of_death,52,0.6866096866096866,11,0.4256410256410256,0.0,0.0
hasparticipantrole,child,has_deathdate,december 6,52,0.6866096866096866,13,0.3666666666666667,0.0,0.0
hasparticipantrole,child,has_deathdate,1916,52,0.6866096866096866,0,0.0,0.0,0.0
hasparticipantrole,child,powhatan,"beaty, 'december 6, 1916')",38,0.5833333333333334,6,0.32564102564102565,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,information provided in the text to populate this,module.,30,0.46035181749467463,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,descriptor record,module:,40,0.5653594771241829,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,information provided in the text to populate this,module.,30,0.46035181749467463,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,status record,module:,39,0.4995929995929996,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,information provided in the text to populate this,module.,30,0.46035181749467463,17,0.3952380952380952,0.0,0.0
hasparticipantrole,deceased person,on the provided,"text, the following ontology can be populated:",30,0.4756613756613757,23,0.4140096618357488,0.0,0.0
hasparticipantrole,deceased person,record,module:,25,0.48148148148148145,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,has_name,name,38,0.5675925925925926,21,0.37777777777777777,0.0,0.0
hasparticipantrole,deceased person,has_name,sgt powhatan beaty,38,0.5675925925925926,30,0.4756613756613757,0.0,0.0
hasparticipantrole,deceased person,powhatan,"beaty, 'sgt powhatan beaty')",38,0.5833333333333334,33,0.523015873015873,0.0,0.0
hasparticipantrole,deceased person,has_surname,surname,41,0.6274651274651274,27,0.4317460317460317,0.0,0.0
hasparticipantrole,deceased person,has_surname,beaty,41,0.6274651274651274,20,0.5111111111111111,0.0,0.0
hasparticipantrole,deceased person,powhatan,"beaty, 'beaty')",38,0.5833333333333334,27,0.42777777777777776,0.0,0.0
hasparticipantrole,deceased person,has_first_name,first_name,44,0.6772486772486772,24,0.38888888888888884,0.0,0.0
hasparticipantrole,deceased person,has_first_name,powhatan,44,0.6772486772486772,26,0.3972222222222222,0.0,0.0
hasparticipantrole,deceased person,powhatan,"beaty, 'powhatan')",38,0.5833333333333334,36,0.5777777777777778,0.0,0.0
hasparticipantrole,deceased person,relationship record,module:,38,0.5994152046783626,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,information provided in the text to populate this,module.,30,0.46035181749467463,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,role record,module:,28,0.4452861952861953,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,has_participant_role,participant_role_type,95,0.9766666666666667,28,0.5047619047619047,0.0,0.0
hasparticipantrole,deceased person,has_participant_role,soldier,95,0.9766666666666667,36,0.5293650793650794,0.0,0.0
hasparticipantrole,deceased person,has_participant_role,actor,95,0.9766666666666667,20,0.3444444444444444,0.0,0.0
hasparticipantrole,deceased person,has_participant_role,drama director,95,0.9766666666666667,34,0.5603174603174603,0.0,0.0
hasparticipantrole,deceased person,powhatan,"beaty, 'soldier'), has_participant_role(sgt powhatan beaty, 'actor'), has_participant_role(sgt powhatan beaty, 'drama director')",38,0.5833333333333334,17,0.538045634920635,0.0,0.0
hasparticipantrole,deceased person,record,module:,25,0.48148148148148145,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,information provided in the text to populate this,module.,30,0.46035181749467463,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,record,module:,25,0.48148148148148145,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,has_occupation,occupation,50,0.6566137566137565,32,0.5444444444444444,0.0,0.0
hasparticipantrole,deceased person,has_occupation,soldier,50,0.6566137566137565,36,0.5293650793650794,0.0,0.0
hasparticipantrole,deceased person,has_occupation,actor,50,0.6566137566137565,20,0.3444444444444444,0.0,0.0
hasparticipantrole,deceased person,has_occupation,drama director,50,0.6566137566137565,34,0.5603174603174603,0.0,0.0
hasparticipantrole,deceased person,powhatan,"beaty, 'soldier'), has_occupation(sgt powhatan beaty, 'actor'), has_occupation(sgt powhatan beaty, 'drama director')",38,0.5833333333333334,18,0.5057323902151488,0.0,0.0
hasparticipantrole,deceased person,record,module:,25,0.48148148148148145,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,has_age,age,40,0.5978835978835978,22,0.4333333333333333,0.0,0.0
hasparticipantrole,deceased person,has_age,79,40,0.5978835978835978,0,0.0,0.0,0.0
hasparticipantrole,deceased person,powhatan,"beaty, 79)",38,0.5833333333333334,24,0.5,0.0,0.0
hasparticipantrole,deceased person,has_birthdate,date_of_birth,52,0.6937321937321936,29,0.44145299145299144,0.0,0.0
