TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Cathay Williams,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Cathay Williams,instance of,Person,1. has_Name,"has_Name(Cathay Williams, ""Cathay Williams"")",27,29,0.404040404040404,0.0,8,13,0.29292929292929293,0.0
Cathay Williams,instance of,Person,2. has_Surname,"has_Surname(Cathay Williams, ""Williams"")",24,25,0.47056277056277057,0.0,9,12,0.5055555555555555,0.0
Cathay Williams,instance of,Person,3. has_First_Name,"has_First_Name(Cathay Williams, ""Cathay"")",36,37,0.3719548425430778,0.0,9,17,0.4132791327913279,0.0
Cathay Williams,instance of,Person,4. has_Alternate_Name,"has_Alternate_Name(Cathay Williams, ""William Cathay"")",25,32,0.49927849927849927,0.0,10,12,0.49737945492662466,0.0
Cathay Williams,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
Cathay Williams,instance of,Person,1. has_Participant_Role,"has_Participant_Role(Cathay Williams, ""Participant in the Indian Wars"")",29,30,0.4239789196310935,0.0,10,11,0.5837245696400625,0.0
Cathay Williams,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Cathay Williams,instance of,Person,1. has_Sex,"has_Sex(Cathay Williams, ""Female"")",19,20,0.41313131313131307,0.0,10,11,0.2973856209150327,0.0
Cathay Williams,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Cathay Williams,instance of,Person,1. has_Occupation,"has_Occupation(Cathay Williams, ""House Slave""), has_Occupation(Cathay Williams, ""Soldier in the U.S. Army"")",21,22,0.5162210338680927,0.0,7,11,0.40134994807892,0.0
Cathay Williams,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Cathay Williams,instance of,Person,1. has_Age,"has_Age(Cathay Williams, ""Not Mentioned"")",19,30,0.41313131313131307,0.0,17,14,0.2940379403794038,0.0
Cathay Williams,instance of,Person,2. has_BirthDate,"has_BirthDate(Cathay Williams, ""September 1844"")",30,31,0.37121212121212127,0.0,7,16,0.40972222222222215,0.0
Cathay Williams,instance of,Person,3. has_DeathDate,"has_DeathDate(Cathay Williams, ""Not Mentioned"")",30,31,0.45568181818181824,0.0,15,12,0.2919621749408983,0.0
Cathay Williams,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Cathay Williams,instance of,Person,1. has_Race_or_Color,"has_Race_or_Color(Cathay Williams, ""African-American"")",32,33,0.5040404040404041,0.0,13,14,0.41358024691358025,0.0
Cathay Williams,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Cathay Williams,instance of,Person,1. has_Person_Status,"has_Person_Status(Cathay Williams, ""Slave""), has_Person_Status(Cathay Williams, ""Soldier in the U.S. Army"")",19,27,0.5040404040404041,0.0,11,17,0.5742471443406023,0.0
Cathay Williams,instance of,Person,2. has_Status_Generating_Event,"has_Status_Generating_Event(Slave, ""Not Mentioned""), has_Status_Generating_Event(Soldier in the U.S. Army, ""Indian Wars"")",24,25,0.4707070707070707,0.0,8,9,0.4915518824609733,0.0
Cathay Williams,hasSex,Female,Name Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
Cathay Williams,hasSex,Female,1. has_Name,"has_Name(Cathay Williams, ""Cathay Williams"")",47,50,0.5909090909090909,0.0,16,13,0.5025252525252525,0.0
Cathay Williams,hasSex,Female,2. has_Surname,"has_Surname(Cathay Williams, ""Williams"")",50,53,0.6507936507936508,0.0,13,12,0.5055555555555555,0.0
Cathay Williams,hasSex,Female,3. has_First_Name,"has_First_Name(Cathay Williams, ""Cathay"")",35,45,0.5588235294117647,0.0,17,17,0.5047425474254742,0.0
Cathay Williams,hasSex,Female,4. has_Alternate_Name,"has_Alternate_Name(Cathay Williams, ""William Cathay"")",30,31,0.6190476190476191,0.0,14,17,0.5092243186582809,0.0
Cathay Williams,hasSex,Female,Participant Role Record Module,,11,11,0.4666666666666666,0.0,0,0,0.0,0.0
Cathay Williams,hasSex,Female,1. has_Participant_Role,"has_Participant_Role(Cathay Williams, ""Participant in the Indian Wars"")",28,29,0.5434782608695653,0.0,10,8,0.4076682316118936,0.0
Cathay Williams,hasSex,Female,Sex Record Module,,26,26,0.5588235294117647,0.0,0,0,0.0,0.0
Cathay Williams,hasSex,Female,1. has_Sex,"has_Sex(Cathay Williams, ""Female"")",75,80,0.8666666666666667,0.0,30,100,0.41830065359477125,0.3799783615910079
Cathay Williams,hasSex,Female,Occupation Record Module,,13,13,0.47222222222222215,0.0,0,0,0.0,0.0
