Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,publius cornelius scipio africanus,32,0.537878787878788,25,0.6143790849673203,0.0,0.0
instance of,person,cornelius scipio,"africanus, ""publius cornelius scipio africanus"")",30,0.5960497835497836,19,0.5972222222222222,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,scipio,27,0.49242424242424243,33,0.4444444444444444,0.0,0.0
instance of,person,cornelius scipio,"africanus, ""scipio"")",30,0.5960497835497836,23,0.4388888888888889,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,publius,40,0.5692640692640693,31,0.4365079365079365,0.0,0.0
instance of,person,cornelius scipio,"africanus, ""publius"")",30,0.5960497835497836,15,0.43650793650793646,0.0,0.0
instance of,person,has_alternate_name,alternate_name,34,0.5107744107744108,30,0.5714285714285715,0.0,0.0
instance of,person,has_alternate_name,africanus,34,0.5107744107744108,27,0.5185185185185185,0.0,0.0
instance of,person,cornelius scipio,"africanus, ""africanus"").",30,0.5960497835497836,20,0.4305555555555555,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type_to,relationship_type,30,0.5269480519480519,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type_to,opponent,30,0.5269480519480519,43,0.625,0.0,0.0
instance of,person,has_interagent_relationship_type_to,victor,30,0.5269480519480519,17,0.4444444444444444,0.0,0.0
instance of,person,cornelius scipio,"africanus, ""opponent""), has_interagent_relationship_type_to(publius cornelius scipio africanus, ""victor"")",30,0.5960497835497836,11,0.5190476190476191,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,hannibal,34,0.5798460798460798,14,0.4305555555555555,0.0,0.0
instance of,person,is_relationship_to,cato the elder,34,0.5798460798460798,20,0.3253968253968254,0.0,0.0
instance of,person,cornelius scipio,"africanus, ""hannibal""), is_relationship_to(publius cornelius scipio africanus, ""cato the elder"").",30,0.5960497835497836,10,0.5761741122565865,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,participant in the second punic war,32,0.5668831168831169,24,0.5253968253968254,0.0,0.0
instance of,person,has_participant_role,founder of italica,32,0.5668831168831169,25,0.46296296296296297,0.0,0.0
instance of,person,has_participant_role,participant in the war with antiochus,32,0.5668831168831169,19,0.5082582582582583,0.0,0.0
instance of,person,cornelius scipio,"africanus, ""participant in the second punic war""), has_participant_role(publius cornelius scipio africanus, ""founder of italica""), has_participant_role(publius cornelius scipio africanus, ""participant in the war with antiochus"").",30,0.5960497835497836,5,0.5087336244541485,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,male,22,0.45598845598845594,20,0.47222222222222215,0.0,0.0
instance of,person,cornelius scipio,"africanus, ""male"").",30,0.5960497835497836,16,0.44152046783625726,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,roman general,24,0.38311688311688313,32,0.576923076923077,0.0,0.0
instance of,person,has_occupation,statesman,24,0.38311688311688313,40,0.5,0.0,0.0
instance of,person,has_occupation,consul,24,0.38311688311688313,33,0.4444444444444444,0.0,0.0
instance of,person,has_occupation,priest of mars,24,0.38311688311688313,40,0.6634920634920635,0.0,0.0
instance of,person,cornelius scipio,"africanus, ""roman general""), has_occupation(publius cornelius scipio africanus, ""statesman""), has_occupation(publius cornelius scipio africanus, ""consul""), has_occupation(publius cornelius scipio africanus, ""priest of mars"").",30,0.5960497835497836,5,0.5088888888888888,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
