TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Cyrus Bustill,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Cyrus Bustill,instance of,Person,1. has_Name,"has_Name(Cyrus Bustill, ""Cyrus Bustill"")",27,29,0.404040404040404,0.0,13,21,0.4138888888888889,0.0
Cyrus Bustill,instance of,Person,2. has_Surname,"has_Surname(Cyrus Bustill, ""Bustill"")",24,25,0.47056277056277057,0.0,14,19,0.5082582582582583,0.0
Cyrus Bustill,instance of,Person,3. has_First_Name,"has_First_Name(Cyrus Bustill, ""Cyrus"").",36,37,0.3719548425430778,0.0,13,18,0.41452991452991456,0.0
Cyrus Bustill,instance of,Person,Interagent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Cyrus Bustill,instance of,Person,1. has_Interagent_Relationship_Type_To,"has_Interagent_Relationship_Type_To(Cyrus Bustill, ""Son""), has_Interagent_Relationship_Type_To(Cyrus Bustill, ""Enslaved Person"")",24,29,0.520933014354067,0.0,9,100,0.4907986111111111,0.186810999052147
Cyrus Bustill,instance of,Person,2. is_Relationship_To,"is_Relationship_To(Cyrus Bustill, ""Samuel Bustill""), is_Relationship_To(Cyrus Bustill, ""Parthenia""), is_Relationship_To(Cyrus Bustill, ""Thomas Prior"").",31,32,0.536075036075036,0.0,6,15,0.48881530537159684,0.0
Cyrus Bustill,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Cyrus Bustill,instance of,Person,1. has_Sex,"has_Sex(Cyrus Bustill, ""Male"").",19,20,0.41313131313131307,0.0,16,12,0.4211469534050179,0.0
Cyrus Bustill,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Cyrus Bustill,instance of,Person,1. has_Occupation,"has_Occupation(Cyrus Bustill, ""Brewer, Baker, Abolitionist, Community Leader"").",21,22,0.5162210338680927,0.0,12,13,0.49887482419127993,0.0
Cyrus Bustill,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Cyrus Bustill,instance of,Person,1. has_Age,"has_Age(Cyrus Bustill, 74)",19,30,0.41313131313131307,0.0,19,13,0.42735042735042733,0.0
Cyrus Bustill,instance of,Person,2. has_BirthDate,"has_BirthDate(Cyrus Bustill, ""February 2, 1732"")",30,31,0.37121212121212127,0.0,11,12,0.40972222222222215,0.0
Cyrus Bustill,instance of,Person,3. has_DeathDate,"has_DeathDate(Cyrus Bustill, ""1806"").",30,31,0.45568181818181824,0.0,14,11,0.41591591591591587,0.0
Cyrus Bustill,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Cyrus Bustill,instance of,Person,1. has_Race_or_Color,"has_Race_or_Color(Cyrus Bustill, ""African American"").",32,33,0.5040404040404041,0.0,14,15,0.41404612159329135,0.0
Cyrus Bustill,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Cyrus Bustill,instance of,Person,1. has_Person_Status,"has_Person_Status(Cyrus Bustill, ""Enslaved Person, Community Leader"")",19,27,0.5040404040404041,0.0,16,100,0.5845410628019323,0.2789425453258252
Cyrus Bustill,instance of,Person,2. has_Status_Generating_Event,"has_Status_Generating_Event(Enslaved Person, ""Sale to Thomas Prior""), has_Status_Generating_Event(Community Leader, ""Manumission by Prior or Earnings"")",24,25,0.4707070707070707,0.0,8,100,0.5688005886681383,0.16539439585841767
