Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,document does not provide enough specific information to populate the ontology modules as,requested.,16,0.5404834865509023,25,0.48888888888888893,0.0,0.0
hassex,male,document does not provide enough specific information to populate the ontology modules as,requested.,8,0.4872034956304619,14,0.45,0.0,0.0
hasparticipantrole,child,document does not provide enough specific information to populate the ontology modules as,requested.,24,0.5117353308364545,13,0.43333333333333335,0.0,0.0
hasparticipantrole,deceased person,document does not provide enough specific information to populate the ontology modules as,requested.,24,0.5117353308364545,40,0.611111111111111,0.0,0.0
hasdescriptiveoccupation,slave,document does not provide enough specific information to populate the ontology modules as,requested.,25,0.593992563643272,27,0.43333333333333335,0.0,0.0
hasdescriptiveoccupation,american indian leader,document does not provide enough specific information to populate the ontology modules as,requested.,25,0.593992563643272,19,0.3606060606060606,0.0,0.0
hasfirstname,john,document does not provide enough specific information to populate the ontology modules as,requested.,20,0.5285722392463965,0,0.0,0.0,0.0
hassurname,horse,document does not provide enough specific information to populate the ontology modules as,requested.,14,0.5188930503537245,40,0.5222222222222221,0.0,0.0
hasname,john horse,document does not provide enough specific information to populate the ontology modules as,requested.,12,0.45682182985553776,30,0.4666666666666666,0.0,0.0
hasdescription,enslaved. free before 13th amendment. organized an exodus in 1850 of about 300 black seminoles and native americans who risked being enslaved.,document does not provide enough specific information to populate the ontology modules as,requested.,21,0.537700127587768,12,0.5063119457485655,0.0,0.0
