TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Austin Dabney,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Austin Dabney,instance of,Person,1. has_Name,"has_Name(Austin Dabney, ""Austin Dabney"")",27,29,0.404040404040404,0.0,13,21,0.4138888888888889,0.0
Austin Dabney,instance of,Person,2. has_Surname,"has_Surname(Austin Dabney, ""Dabney"")",24,25,0.47056277056277057,0.0,14,19,0.5092592592592592,0.0
Austin Dabney,instance of,Person,3. has_First_Name,"has_First_Name(Austin Dabney, ""Austin"").",36,37,0.3719548425430778,0.0,13,24,0.5055555555555555,0.0
Austin Dabney,instance of,Person,Interagent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Austin Dabney,instance of,Person,1. has_Interagent_Relationship_Type_To,"has_Interagent_Relationship_Type_To(Austin Dabney, ""Enslaver""), has_Interagent_Relationship_Type_To(Austin Dabney, ""Caretaker"")",24,29,0.520933014354067,0.0,8,14,0.4909011373578303,0.0
Austin Dabney,instance of,Person,2. is_Relationship_To,"is_Relationship_To(Austin Dabney, ""Richard Aycock""), is_Relationship_To(Austin Dabney, ""Harris family"").",31,32,0.536075036075036,0.0,9,15,0.4938034188034188,0.0
Austin Dabney,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
Austin Dabney,instance of,Person,1. has_Participant_Role,"has_Participant_Role(Austin Dabney, ""Soldier in the Georgia Militia"").",29,30,0.4239789196310935,0.0,13,14,0.5841269841269842,0.0
Austin Dabney,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Austin Dabney,instance of,Person,1. has_Sex,"has_Sex(Austin Dabney, ""Male"").",19,20,0.41313131313131307,0.0,16,12,0.4211469534050179,0.0
Austin Dabney,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Austin Dabney,instance of,Person,1. has_Occupation,"has_Occupation(Austin Dabney, ""Slave, Soldier"").",21,22,0.5162210338680927,0.0,11,17,0.5208333333333334,0.0
Austin Dabney,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
