Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,oscar james dunn,24,0.46645021645021645,27,0.45138888888888884,0.0,0.0
instance of,person,james,"dunn, ""oscar james dunn"")",25,0.5131313131313131,19,0.44222222222222224,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,oscar james dunn,18,0.4239789196310935,27,0.45138888888888884,0.0,0.0
instance of,person,james,"dunn, ""oscar james dunn"")",25,0.5131313131313131,19,0.44222222222222224,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,oscar james dunn,30,0.4545454545454546,27,0.45138888888888884,0.0,0.0
instance of,person,james,"dunn, ""oscar james dunn"")",25,0.5131313131313131,19,0.44222222222222224,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,dunn,28,0.4452861952861953,20,0.47222222222222215,0.0,0.0
instance of,person,james,"dunn, ""dunn"")",25,0.5131313131313131,11,0.41452991452991456,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,oscar,32,0.5192640692640692,18,0.41111111111111115,0.0,0.0
instance of,person,james,"dunn, ""oscar"")",25,0.5131313131313131,10,0.4603174603174603,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,referstoplaceoforigin,place,44,0.5137085137085137,36,0.45555555555555555,0.0,0.0
