TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Peter Salem,hasDescription,"Born Enslaved. Free before 13th Amendment. A soldier in the Revolutionary war who was honored for killing Major Pitcairn, the leader of the British charge in the Battle of Bunker Hill .",90,100,0.9411764705882352,1.0,48,58,0.6918652642790574,0.4137625622417421
Peter Salem,hasDescriptiveOccupation,Colonial Militiaman,68,70,0.8022875816993463,0.0,34,33,0.5826023391812866,0.0
Peter Salem,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,25,29,0.5625730994152046,0.0
Peter Salem,hasFirstName,Peter,63,71,0.7983091787439612,0.0,31,100,0.636231884057971,0.6348087971775132
Peter Salem,hasName,Peter Salem,58,61,0.8039215686274509,0.0,58,100,0.6590909090909091,0.8955324150715727
Peter Salem,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,16,19,0.557142857142857,0.0
Peter Salem,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,37,57,0.5777777777777778,0.1757860783933462
Peter Salem,hasSex,Male,80,100,0.8888888888888888,1.0,26,100,0.6055555555555555,0.3799783615910079
Peter Salem,hasSurname,Salem,65,67,0.8253968253968255,0.0,31,100,0.6314465408805031,0.6348087971775132
Peter Salem,instance of,Person,36,41,0.5989057239057239,0.0,24,100,0.5990338164251208,0.3032160644503863
