TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Primus Hall,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Primus Hall,instance of,Person,1. hasNameVariant,"hasNameVariant(Primus Hall, ""Primus Hall"")",21,22,0.4496434937611408,0.0,12,19,0.5841269841269842,0.0
Primus Hall,instance of,Person,2. hasNameVariant,"hasNameVariant(Primus Hall, ""Primus Trask"")",21,22,0.4496434937611408,0.0,12,16,0.5832041343669251,0.0
Primus Hall,instance of,Person,3. hasPreferredNameVariant,"hasPreferredNameVariant(Primus Hall, ""Primus Trask"")",16,17,0.4822843822843823,0.0,14,17,0.5764957264957266,0.0
Primus Hall,instance of,Person,4. fullNameAsString,"string): fullNameAsString(Primus Hall, ""Primus Hall"")",20,28,0.35805422647527907,0.0,10,20,0.49737945492662466,0.0
Primus Hall,instance of,Person,5. hasSurnameAsString,"string): hasSurnameAsString(Primus Hall, ""Hall"")",25,26,0.43088023088023086,0.0,11,19,0.5,0.0
Primus Hall,instance of,Person,6. hasFirstnameAsString,"string): hasFirstnameAsString(Primus Hall, ""Primus"")",29,30,0.5040466779597215,0.0,10,18,0.49786324786324787,0.0
Primus Hall,instance of,Person,Description Module,,34,34,0.5989057239057239,0.0,0,0,0.0,0.0
Primus Hall,instance of,Person,1. hasDescription,"hasDescription(Primus Hall, ""Enslaved. Free before the 13th Amendment. Served in the Revolutionary War. Worked for Timothy Pickering, a Quartermaster General and politician."")",21,22,0.5772430184194891,0.0,7,7,0.5669841269841269,0.0
Primus Hall,instance of,Person,Origin Record Module,,32,26,0.5595959595959595,0.0,0,0,0.0,0.0
Primus Hall,instance of,Person,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(Primus Hall, ""Boston"")",29,41,0.4998196248196248,0.0,24,26,0.6010101010101009,0.0
Primus Hall,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Primus Hall,instance of,Person,1. has_Race,"has_Race(Primus Hall, ""African-American"")",36,38,0.49242424242424243,0.0,17,14,0.5047425474254742,0.0
Primus Hall,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Primus Hall,instance of,Person,1. hasAgeValue,"double): hasAgeValue(Primus Hall, 86)",24,25,0.46645021645021645,0.0,14,15,0.41591591591591587,0.0
Primus Hall,instance of,Person,2. hasBirthDate,"hasBirthDate(Primus Hall, ""February 29, 1756"")",31,32,0.3767676767676768,0.0,12,13,0.4178743961352657,0.0
Primus Hall,instance of,Person,3. hasDeathDate,"hasDeathDate(Primus Hall, ""March 22, 1842"")",31,32,0.46262626262626255,0.0,12,14,0.5032299741602068,0.0
Primus Hall,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Primus Hall,instance of,Person,1. hasSex,"hasSex(Primus Hall, ""Male"")",20,21,0.42424242424242414,0.0,18,21,0.5216049382716049,0.0
Primus Hall,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Primus Hall,instance of,Person,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(Primus Hall, ""manumission, service in the Revolutionary War"")",27,28,0.4809634809634809,0.0,11,12,0.4973856209150327,0.0
Primus Hall,instance of,Person,2. hasValue,"hasValue(Primus Hall, ""Free Person, Soldier"")",27,29,0.404040404040404,0.0,24,100,0.5018518518518519,0.3032160644503863
Primus Hall,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Primus Hall,instance of,Person,1. hasValue,"hasValue(Primus Hall, ""Revolutionary War Soldier, Worker for Timothy Pickering"")",27,29,0.404040404040404,0.0,12,15,0.6361111111111111,0.0
Primus Hall,instance of,Person,InterAgent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Primus Hall,instance of,Person,1. hasInterAgentRelationshipType,"hasInterAgentRelationshipType(Primus Hall, ""Enslaver or Owner"")",23,33,0.5340909090909091,0.0,14,15,0.5873015873015873,0.0
Primus Hall,instance of,Person,2. isRelationshipTo,"isRelationshipTo(Primus Hall, ""Ezra Trask"")",33,34,0.5494417862838915,0.0,12,22,0.6020671834625323,0.0
Primus Hall,instance of,Person,3. isRelationshipFrom,"isRelationshipFrom(Ezra Trask, ""Primus Hall"")",31,32,0.536075036075036,0.0,12,21,0.5148148148148147,0.0
Primus Hall,instance of,Person,4. hasInterAgentRelationshipType,"hasInterAgentRelationshipType(Primus Hall, ""Spouse"")",23,33,0.5340909090909091,0.0,14,19,0.5098290598290598,0.0
Primus Hall,instance of,Person,5. isRelationshipTo,"isRelationshipTo(Primus Hall, ""Ann"")",33,34,0.5494417862838915,0.0,19,16,0.6111111111111112,0.0
Primus Hall,instance of,Person,6. isRelationshipFrom,"isRelationshipFrom(Ann, ""Primus Hall"")",31,32,0.536075036075036,0.0,18,15,0.5216374269005848,0.0
Primus Hall,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
Primus Hall,instance of,Person,1. hasParticipantRoleType,"hasParticipantRoleType(Primus Hall, ""Soldier"")",28,29,0.5574242424242425,0.0,19,21,0.5990338164251208,0.0
Primus Hall,instance of,Person,2. roleProvidedBy,"roleProvidedBy(Primus Hall, ""Service in the Continental Army, Massachusetts"")",14,15,0.3719548425430778,0.0,14,10,0.5815295815295816,0.0
Primus Hall,hasSex,Male,Name Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
Primus Hall,hasSex,Male,1. hasNameVariant,"hasNameVariant(Primus Hall, ""Primus Hall"")",35,36,0.6339869281045751,0.0,9,20,0.5158730158730159,0.0
