TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Hannah Crafts,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Hannah Crafts,instance of,Person,1. hasNameVariant,"hasNameVariant(Hannah Bond, ""Hannah Bond"")",21,22,0.4496434937611408,0.0,17,19,0.5174603174603175,0.0
Hannah Crafts,instance of,Person,2. hasNameVariant,"hasNameVariant(Hannah Bond, ""Hannah Crafts"")",21,22,0.4496434937611408,0.0,16,15,0.5156565656565656,0.0
Hannah Crafts,instance of,Person,3. hasPreferredNameVariant,"hasPreferredNameVariant(Hannah Bond, ""Hannah Crafts"")",16,17,0.4822843822843823,0.0,17,17,0.5758909853249476,0.0
Hannah Crafts,instance of,Person,4. fullNameAsString,"string): fullNameAsString(Hannah Bond, ""Hannah Bond"")",20,28,0.35805422647527907,0.0,14,20,0.49737945492662466,0.0
Hannah Crafts,instance of,Person,5. hasSurnameAsString,"string): hasSurnameAsString(Hannah Bond, ""Bond"")",25,26,0.43088023088023086,0.0,15,19,0.5,0.0
Hannah Crafts,instance of,Person,6. hasFirstnameAsString,"string): hasFirstnameAsString(Hannah Bond, ""Hannah"")",29,30,0.5040466779597215,0.0,14,18,0.49786324786324787,0.0
Hannah Crafts,instance of,Person,Description Module,,34,34,0.5989057239057239,0.0,0,0,0.0,0.0
Hannah Crafts,instance of,Person,1. hasDescription,"hasDescription(Hannah Bond, ""Enslaved. Became free around 1857. Known for her work 'The Bondwoman's Narrative by Hannah Crafts'."")",21,22,0.5772430184194891,0.0,7,8,0.5572649572649573,0.0
Hannah Crafts,instance of,Person,Origin Record Module,,32,26,0.5595959595959595,0.0,0,0,0.0,0.0
Hannah Crafts,instance of,Person,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(Hannah Bond, ""North Carolina"")",29,41,0.4998196248196248,0.0,17,19,0.594017094017094,0.0
Hannah Crafts,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Hannah Crafts,instance of,Person,1. has_Race,"has_Race(Hannah Bond, ""African-American"")",36,38,0.49242424242424243,0.0,13,19,0.4214092140921409,0.0
Hannah Crafts,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Hannah Crafts,instance of,Person,1. hasSex,"hasSex(Hannah Bond, ""Female"")",20,21,0.42424242424242414,0.0,17,13,0.4348659003831417,0.0
Hannah Crafts,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Hannah Crafts,instance of,Person,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(Hannah Bond, ""escape from slavery"")",27,28,0.4809634809634809,0.0,12,16,0.5060263653483993,0.0
Hannah Crafts,instance of,Person,2. hasValue,"hasValue(Hannah Bond, ""Free Person"")",27,29,0.404040404040404,0.0,29,100,0.4259259259259259,0.33517574332792605
Hannah Crafts,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Hannah Crafts,instance of,Person,1. hasValue,"hasValue(Hannah Bond, ""Writer, Teacher"")",27,29,0.404040404040404,0.0,13,10,0.4222222222222222,0.0
Hannah Crafts,instance of,Person,InterAgent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Hannah Crafts,instance of,Person,1. hasInterAgentRelationshipType,"hasInterAgentRelationshipType(Hannah Bond, ""Enslaver or Owner"")",23,33,0.5340909090909091,0.0,14,15,0.5042328042328043,0.0
Hannah Crafts,instance of,Person,2. isRelationshipTo,"isRelationshipTo(Hannah Bond, ""John Hill Wheeler"")",33,34,0.5494417862838915,0.0,14,15,0.4988888888888889,0.0
Hannah Crafts,instance of,Person,3. isRelationshipFrom,"isRelationshipFrom(John Hill Wheeler, ""Hannah Bond"")",31,32,0.536075036075036,0.0,14,15,0.5098290598290598,0.0
Hannah Crafts,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
Hannah Crafts,instance of,Person,1. hasParticipantRoleType,"hasParticipantRoleType(Hannah Bond, ""Writer"")",28,29,0.5574242424242425,0.0,16,13,0.6,0.0
Hannah Crafts,instance of,Person,2. roleProvidedBy,"roleProvidedBy(Hannah Bond, ""The Bondwoman's Narrative by Hannah Crafts"")",14,15,0.3719548425430778,0.0,10,9,0.5006088280060883,0.0
Hannah Crafts,hasSex,Female,Name Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
Hannah Crafts,hasSex,Female,1. hasNameVariant,"hasNameVariant(Hannah Bond, ""Hannah Bond"")",35,36,0.6339869281045751,0.0,8,12,0.41269841269841273,0.0
Hannah Crafts,hasSex,Female,2. hasNameVariant,"hasNameVariant(Hannah Bond, ""Hannah Crafts"")",35,36,0.6339869281045751,0.0,8,15,0.4116161616161616,0.0
Hannah Crafts,hasSex,Female,3. hasPreferredNameVariant,"hasPreferredNameVariant(Hannah Bond, ""Hannah Crafts"")",25,26,0.6068376068376068,0.0,10,17,0.41404612159329135,0.0
Hannah Crafts,hasSex,Female,4. fullNameAsString,"string): fullNameAsString(Hannah Bond, ""Hannah Bond"")",24,25,0.4795321637426901,0.0,7,15,0.41404612159329135,0.0
Hannah Crafts,hasSex,Female,5. hasSurnameAsString,"string): hasSurnameAsString(Hannah Bond, ""Bond"")",37,38,0.6904761904761904,0.0,7,9,0.40972222222222215,0.0
Hannah Crafts,hasSex,Female,6. hasFirstnameAsString,"string): hasFirstnameAsString(Hannah Bond, ""Hannah"")",28,36,0.6135265700483091,0.0,10,13,0.49786324786324787,0.0
Hannah Crafts,hasSex,Female,Description Module,,17,17,0.3148148148148148,0.0,0,0,0.0,0.0
Hannah Crafts,hasSex,Female,1. hasDescription,"hasDescription(Hannah Bond, ""Enslaved. Became free around 1857. Known for her work 'The Bondwoman's Narrative by Hannah Crafts'."")",35,36,0.6339869281045751,0.0,6,8,0.49059829059829063,0.0
Hannah Crafts,hasSex,Female,Origin Record Module,,8,8,0.4055555555555556,0.0,0,0,0.0,0.0
Hannah Crafts,hasSex,Female,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(Hannah Bond, ""North Carolina"")",13,14,0.3055555555555555,0.0,10,15,0.49786324786324787,0.0
Hannah Crafts,hasSex,Female,Race Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
Hannah Crafts,hasSex,Female,1. has_Race,"has_Race(Hannah Bond, ""African-American"")",47,50,0.5909090909090909,0.0,13,19,0.2940379403794038,0.0
Hannah Crafts,hasSex,Female,Sex Record Module,,26,26,0.5588235294117647,0.0,0,0,0.0,0.0
Hannah Crafts,hasSex,Female,1. hasSex,"hasSex(Hannah Bond, ""Female"")",80,100,0.8888888888888888,1.0,34,100,0.3007662835249042,0.3799783615910079
Hannah Crafts,hasSex,Female,Person Status Record Module,,18,12,0.5216049382716049,0.0,0,0,0.0,0.0
Hannah Crafts,hasSex,Female,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(Hannah Bond, ""escape from slavery"")",31,32,0.6752136752136751,0.0,12,16,0.40583804143126173,0.0
Hannah Crafts,hasSex,Female,2. hasValue,"hasValue(Hannah Bond, ""Free Person"")",47,50,0.5909090909090909,0.0,14,26,0.4166666666666667,0.0
Hannah Crafts,hasSex,Female,Occupation Record Module,,13,13,0.47222222222222215,0.0,0,0,0.0,0.0
Hannah Crafts,hasSex,Female,1. hasValue,"hasValue(Hannah Bond, ""Writer, Teacher"")",47,50,0.5909090909090909,0.0,13,15,0.4138888888888889,0.0
Hannah Crafts,hasSex,Female,InterAgent Relationship Record Module,,14,9,0.41591591591591587,0.0,0,0,0.0,0.0
Hannah Crafts,hasSex,Female,1. hasInterAgentRelationshipType,"hasInterAgentRelationshipType(Hannah Bond, ""Enslaver or Owner"")",21,27,0.5972222222222222,0.0,12,12,0.41005291005291006,0.0
Hannah Crafts,hasSex,Female,2. isRelationshipTo,"isRelationshipTo(Hannah Bond, ""John Hill Wheeler"")",16,17,0.44152046783625726,0.0,14,15,0.40888888888888886,0.0
Hannah Crafts,hasSex,Female,3. isRelationshipFrom,"isRelationshipFrom(John Hill Wheeler, ""Hannah Bond"")",15,15,0.43650793650793646,0.0,14,15,0.5098290598290598,0.0
Hannah Crafts,hasSex,Female,Participant Role Record Module,,11,11,0.4666666666666666,0.0,0,0,0.0,0.0
Hannah Crafts,hasSex,Female,1. hasParticipantRoleType,"hasParticipantRoleType(Hannah Bond, ""Writer"")",26,27,0.54,0.0,12,13,0.5018518518518519,0.0
Hannah Crafts,hasSex,Female,2. roleProvidedBy,"roleProvidedBy(Hannah Bond, ""The Bondwoman's Narrative by Hannah Crafts"")",9,9,0.40849673202614384,0.0,10,12,0.4071537290715373,0.0
Hannah Crafts,hasParticipantRole,Child,Name Record Module,,28,22,0.5,0.0,0,0,0.0,0.0
Hannah Crafts,hasParticipantRole,Child,1. hasNameVariant,"hasNameVariant(Hannah Bond, ""Hannah Bond"")",51,53,0.6145969498910675,0.0,13,13,0.48253968253968255,0.0
Hannah Crafts,hasParticipantRole,Child,2. hasNameVariant,"hasNameVariant(Hannah Bond, ""Hannah Crafts"")",51,53,0.6145969498910675,0.0,12,16,0.556060606060606,0.0
Hannah Crafts,hasParticipantRole,Child,3. hasPreferredNameVariant,"hasPreferredNameVariant(Hannah Bond, ""Hannah Crafts"")",45,47,0.58005698005698,0.0,10,13,0.4410901467505241,0.0
Hannah Crafts,hasParticipantRole,Child,4. fullNameAsString,"string): fullNameAsString(Hannah Bond, ""Hannah Bond"")",27,28,0.3803118908382066,0.0,10,10,0.4792452830188679,0.0
Hannah Crafts,hasParticipantRole,Child,5. hasSurnameAsString,"string): hasSurnameAsString(Hannah Bond, ""Bond"")",36,37,0.5687830687830688,0.0,11,10,0.3138888888888889,0.0
Hannah Crafts,hasParticipantRole,Child,6. hasFirstnameAsString,"string): hasFirstnameAsString(Hannah Bond, ""Hannah"")",34,40,0.5967793880837359,0.0,11,9,0.3128205128205128,0.0
Hannah Crafts,hasParticipantRole,Child,Description Module,,44,44,0.6498316498316499,0.0,0,0,0.0,0.0
Hannah Crafts,hasParticipantRole,Child,1. hasDescription,"hasDescription(Hannah Bond, ""Enslaved. Became free around 1857. Known for her work 'The Bondwoman's Narrative by Hannah Crafts'."")",46,47,0.6618142206377501,0.0,6,5,0.5269230769230769,0.0
Hannah Crafts,hasParticipantRole,Child,Origin Record Module,,42,32,0.5388888888888889,0.0,0,0,0.0,0.0
Hannah Crafts,hasParticipantRole,Child,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(Hannah Bond, ""North Carolina"")",33,34,0.49074074074074076,0.0,7,11,0.3128205128205128,0.0
Hannah Crafts,hasParticipantRole,Child,Race Record Module,,33,22,0.5,0.0,0,0,0.0,0.0
Hannah Crafts,hasParticipantRole,Child,1. has_Race,"has_Race(Hannah Bond, ""African-American"")",41,43,0.6274651274651274,0.0,9,14,0.48292682926829267,0.0
Hannah Crafts,hasParticipantRole,Child,Sex Record Module,,23,23,0.4572984749455338,0.0,0,0,0.0,0.0
Hannah Crafts,hasParticipantRole,Child,1. hasSex,"hasSex(Hannah Bond, ""Female"")",30,31,0.5,0.0,12,7,0.48965517241379314,0.0
Hannah Crafts,hasParticipantRole,Child,Person Status Record Module,,40,22,0.5648148148148149,0.0,0,0,0.0,0.0
Hannah Crafts,hasParticipantRole,Child,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(Hannah Bond, ""escape from slavery"")",36,37,0.58005698005698,0.0,6,10,0.47796610169491527,0.0
Hannah Crafts,hasParticipantRole,Child,2. hasValue,"hasValue(Hannah Bond, ""Free Person"")",41,43,0.6262626262626262,0.0,15,11,0.5611111111111111,0.0
Hannah Crafts,hasParticipantRole,Child,Occupation Record Module,,38,33,0.5686026936026937,0.0,0,0,0.0,0.0
Hannah Crafts,hasParticipantRole,Child,1. hasValue,"hasValue(Hannah Bond, ""Writer, Teacher"")",41,43,0.6262626262626262,0.0,13,15,0.5583333333333332,0.0
Hannah Crafts,hasParticipantRole,Child,InterAgent Relationship Record Module,,33,25,0.5373450373450374,0.0,0,0,0.0,0.0
Hannah Crafts,hasParticipantRole,Child,1. hasInterAgentRelationshipType,"hasInterAgentRelationshipType(Hannah Bond, ""Enslaver or Owner"")",36,45,0.5812856125356126,0.0,9,9,0.43809523809523804,0.0
Hannah Crafts,hasParticipantRole,Child,2. isRelationshipTo,"isRelationshipTo(Hannah Bond, ""John Hill Wheeler"")",38,44,0.5384990253411306,0.0,11,12,0.5433333333333333,0.0
Hannah Crafts,hasParticipantRole,Child,3. isRelationshipFrom,"isRelationshipFrom(John Hill Wheeler, ""Hannah Bond"")",36,42,0.5439153439153439,0.0,14,11,0.44145299145299144,0.0
Hannah Crafts,hasParticipantRole,Child,Participant Role Record Module,,62,62,0.688888888888889,0.0,0,0,0.0,0.0
Hannah Crafts,hasParticipantRole,Child,1. hasParticipantRoleType,"hasParticipantRoleType(Hannah Bond, ""Writer"")",84,86,0.9066666666666666,0.0,16,13,0.5555555555555555,0.0
Hannah Crafts,hasParticipantRole,Child,2. roleProvidedBy,"roleProvidedBy(Hannah Bond, ""The Bondwoman's Narrative by Hannah Crafts"")",23,29,0.39063180827886707,0.0,5,15,0.5349315068493151,0.0
Hannah Crafts,hasParticipantRole,Deceased Person,Name Record Module,,28,22,0.5,0.0,0,0,0.0,0.0
