TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Molly Williams,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Molly Williams,instance of,Person,1. hasNameVariant,"hasNameVariant(Molly Williams, ""Molly Williams"")",21,22,0.4496434937611408,0.0,15,17,0.5125000000000001,0.0
Molly Williams,instance of,Person,2. hasPreferredNameVariant,"hasPreferredNameVariant(Molly Williams, ""Molly Williams"")",16,17,0.4822843822843823,0.0,16,18,0.5906432748538011,0.0
Molly Williams,instance of,Person,3. fullNameAsString,"string): fullNameAsString(Molly Williams, ""Molly Williams"")",20,28,0.35805422647527907,0.0,12,18,0.5060263653483993,0.0
Molly Williams,instance of,Person,4. hasSurnameAsString,"string): hasSurnameAsString(Molly Williams, ""Williams"")",25,26,0.43088023088023086,0.0,10,17,0.5080808080808081,0.0
Molly Williams,instance of,Person,5. hasFirstnameAsString,"string): hasFirstnameAsString(Molly Williams, ""Molly"")",29,30,0.5040466779597215,0.0,13,17,0.49691358024691357,0.0
Molly Williams,instance of,Person,Origin Record Module,,32,26,0.5595959595959595,0.0,0,0,0.0,0.0
Molly Williams,instance of,Person,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(Molly Williams, ""New York City"")",29,41,0.4998196248196248,0.0,17,18,0.5925925925925926,0.0
Molly Williams,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Molly Williams,instance of,Person,1. has_Race,"has_Race(Molly Williams, ""African-American"")",36,38,0.49242424242424243,0.0,12,17,0.4116161616161616,0.0
Molly Williams,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Molly Williams,instance of,Person,1. hasAgeValue,"double): hasAgeValue(Molly Williams, 1818)",24,25,0.46645021645021645,0.0,12,14,0.41269841269841273,0.0
Molly Williams,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Molly Williams,instance of,Person,1. hasSex,"hasSex(Molly Williams, ""Female"")",20,21,0.42424242424242414,0.0,11,18,0.42013888888888884,0.0
Molly Williams,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Molly Williams,instance of,Person,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(Molly Williams, ""service during the 1818 blizzard"")",27,28,0.4809634809634809,0.0,10,8,0.5,0.0
Molly Williams,instance of,Person,2. hasValue,"hasValue(Molly Williams, ""Slave, Firefighter"")",27,29,0.404040404040404,0.0,8,17,0.4106280193236715,0.0
Molly Williams,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Molly Williams,instance of,Person,1. hasValue,"hasValue(Molly Williams, ""Firefighter"")",27,29,0.404040404040404,0.0,9,20,0.41452991452991456,0.0
Molly Williams,instance of,Person,InterAgent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Molly Williams,instance of,Person,1. hasInterAgentRelationshipType,"hasInterAgentRelationshipType(Molly Williams, ""Enslaver or Owner"")",23,33,0.5340909090909091,0.0,14,15,0.503030303030303,0.0
Molly Williams,instance of,Person,2. isRelationshipTo,"isRelationshipTo(Molly Williams, ""Benjamin Aymar"")",33,34,0.5494417862838915,0.0,14,15,0.4988888888888889,0.0
Molly Williams,instance of,Person,3. isRelationshipFrom,"isRelationshipFrom(Benjamin Aymar, ""Molly Williams"")",31,32,0.536075036075036,0.0,14,15,0.5098290598290598,0.0
Molly Williams,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
Molly Williams,instance of,Person,1. hasParticipantRoleType,"hasParticipantRoleType(Molly Williams, ""Firefighter"")",28,29,0.5574242424242425,0.0,10,15,0.5932914046121592,0.0
Molly Williams,instance of,Person,2. roleProvidedBy,"roleProvidedBy(Molly Williams, ""Service with the Oceanus Engine Company #11"")",14,15,0.3719548425430778,0.0,14,10,0.4994227994227994,0.0
Molly Williams,hasName,Molly Williams,Name Record Module,,32,32,0.5145502645502645,0.0,0,0,0.0,0.0
Molly Williams,hasName,Molly Williams,1. hasNameVariant,"hasNameVariant(Molly Williams, ""Molly Williams"")",58,61,0.8039215686274509,0.0,45,100,0.5972222222222222,0.8955324150715727
Molly Williams,hasName,Molly Williams,2. hasPreferredNameVariant,"hasPreferredNameVariant(Molly Williams, ""Molly Williams"")",42,44,0.6611721611721612,0.0,39,100,0.5818713450292398,0.8955324150715727
Molly Williams,hasName,Molly Williams,3. fullNameAsString,"string): fullNameAsString(Molly Williams, ""Molly Williams"")",31,32,0.5106516290726817,0.0,38,100,0.6029055690072639,0.8181802073667198
