TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Stephen Bishop,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Stephen Bishop,instance of,Person,1. has_Name,"has_Name(Stephen Bishop, ""Stephen Bishop"")",27,29,0.404040404040404,0.0,17,28,0.42063492063492064,0.0
Stephen Bishop,instance of,Person,2. has_Surname,"has_Surname(Stephen Bishop, ""Bishop"")",24,25,0.47056277056277057,0.0,14,25,0.5082582582582583,0.0
Stephen Bishop,instance of,Person,3. has_First_Name,"has_First_Name(Stephen Bishop, ""Stephen"").",36,37,0.3719548425430778,0.0,17,23,0.503968253968254,0.0
Stephen Bishop,instance of,Person,Interagent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Stephen Bishop,instance of,Person,1. has_Interagent_Relationship_Type_To,"has_Interagent_Relationship_Type_To(Stephen Bishop, ""Enslaver or Owner"")",24,29,0.520933014354067,0.0,13,16,0.5009259259259259,0.0
Stephen Bishop,instance of,Person,2. is_Relationship_To,"is_Relationship_To(Stephen Bishop, ""Franklin Gorin"").",31,32,0.536075036075036,0.0,14,19,0.49737945492662466,0.0
Stephen Bishop,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
Stephen Bishop,instance of,Person,1. has_Participant_Role,"has_Participant_Role(Stephen Bishop, ""Guide""), has_Participant_Role(Stephen Bishop, ""Explorer"").",29,30,0.4239789196310935,0.0,10,21,0.5763888888888888,0.0
Stephen Bishop,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Stephen Bishop,instance of,Person,1. has_Sex,"has_Sex(Stephen Bishop, ""Male"").",19,20,0.41313131313131307,0.0,16,24,0.42013888888888884,0.0
Stephen Bishop,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Stephen Bishop,instance of,Person,1. has_Occupation,"has_Occupation(Stephen Bishop, ""Cave Explorer""), has_Occupation(Stephen Bishop, ""Self-Taught Geologist""), has_Occupation(Stephen Bishop, ""Guide at Mammoth Cave"").",21,22,0.5162210338680927,0.0,6,14,0.48806584362139915,0.0
Stephen Bishop,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Stephen Bishop,instance of,Person,1. has_Age,"has_Age(Stephen Bishop, 36)",19,30,0.41313131313131307,0.0,18,26,0.4259259259259259,0.0
Stephen Bishop,instance of,Person,2. has_BirthDate,"has_BirthDate(Stephen Bishop, ""Around 1821"")",30,31,0.37121212121212127,0.0,16,17,0.5025252525252525,0.0
Stephen Bishop,instance of,Person,3. has_DeathDate,"has_DeathDate(Stephen Bishop, ""1857"").",30,31,0.45568181818181824,0.0,14,21,0.4152046783625731,0.0
Stephen Bishop,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Stephen Bishop,instance of,Person,1. has_Person_Status,"has_Person_Status(Stephen Bishop, ""Enslaved Person""), has_Person_Status(Stephen Bishop, ""Freed by Manumission"")",19,27,0.5040404040404041,0.0,10,100,0.5735735735735735,0.17512808619292847
Stephen Bishop,instance of,Person,2. has_Status_Generating_Event,"has_Status_Generating_Event(Enslaved Person, ""Brought to Mammoth Cave by Franklin Gorin in 1838""), has_Status_Generating_Event(Enslaved Person, ""Exploring and mapping the cave system""), has_Status_Generating_Event(Enslaved Person, ""Marriage to Charlotte Brown""), has_Status_Generating_Event(Freed by Manumission, ""Manumission in 1856"").",24,25,0.4707070707070707,0.0,4,100,0.5615079365079364,0.26566370281661933
Stephen Bishop,hasSex,Male,Name Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
Stephen Bishop,hasSex,Male,1. has_Name,"has_Name(Stephen Bishop, ""Stephen Bishop"")",47,50,0.5909090909090909,0.0,9,15,0.5158730158730159,0.0
Stephen Bishop,hasSex,Male,2. has_Surname,"has_Surname(Stephen Bishop, ""Bishop"")",50,53,0.6507936507936508,0.0,10,13,0.518018018018018,0.0
Stephen Bishop,hasSex,Male,3. has_First_Name,"has_First_Name(Stephen Bishop, ""Stephen"").",35,45,0.5588235294117647,0.0,9,12,0.5158730158730159,0.0
Stephen Bishop,hasSex,Male,Interagent Relationship Record Module,,14,9,0.41591591591591587,0.0,0,0,0.0,0.0
Stephen Bishop,hasSex,Male,1. has_Interagent_Relationship_Type_To,"has_Interagent_Relationship_Type_To(Stephen Bishop, ""Enslaver or Owner"")",18,23,0.5906432748538012,0.0,8,8,0.4861111111111111,0.0
Stephen Bishop,hasSex,Male,2. is_Relationship_To,"is_Relationship_To(Stephen Bishop, ""Franklin Gorin"").",15,15,0.43650793650793646,0.0,7,12,0.49109014675052415,0.0
Stephen Bishop,hasSex,Male,Participant Role Record Module,,11,11,0.4666666666666666,0.0,0,0,0.0,0.0
Stephen Bishop,hasSex,Male,1. has_Participant_Role,"has_Participant_Role(Stephen Bishop, ""Guide""), has_Participant_Role(Stephen Bishop, ""Explorer"").",28,29,0.5434782608695653,0.0,6,11,0.59375,0.0
