TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
William Lewis,hasName,William Lewis,Name Record Module,,32,32,0.5145502645502645,0.0,0,0,0.0,0.0
William Lewis,hasName,William Lewis,1. has_Name,"has_Name(William Lewis Reece, ""William Lewis Reece"")",78,82,0.8787878787878788,0.0,40,100,0.5961538461538461,0.6689625304957969
William Lewis,hasName,William Lewis,2. has_Surname,"has_Surname(William Lewis Reece, ""Reece"")",57,70,0.5476190476190476,0.0,48,100,0.618511569731082,0.41036264495218466
William Lewis,hasName,William Lewis,3. has_First_Name,"has_First_Name(William Lewis Reece, ""William"").",58,61,0.5350140056022409,0.0,43,100,0.6050190943807965,0.7090528735856639
William Lewis,hasName,William Lewis,Interagent Relationship Record Module,,14,18,0.4765122265122265,0.0,0,0,0.0,0.0
William Lewis,hasName,William Lewis,Sex Record Module,,8,17,0.4005602240896358,0.0,0,0,0.0,0.0
William Lewis,hasName,William Lewis,1. has_Sex,"has_Sex(William Lewis Reece, ""Male"").",47,50,0.6571428571428571,0.0,52,100,0.6299376299376299,0.5023287782256719
William Lewis,hasName,William Lewis,Occupation Record Module,,13,19,0.45634920634920634,0.0,0,0,0.0,0.0
William Lewis,hasName,William Lewis,1. has_Occupation,"has_Occupation(William Lewis Reece, ""Serial Killer, Rapist, Kidnapper"").",33,35,0.5350140056022409,0.0,31,100,0.573005698005698,0.3799783615910079
William Lewis,hasName,William Lewis,Age Record Module,,8,25,0.4005602240896358,0.0,0,0,0.0,0.0
William Lewis,hasName,William Lewis,1. has_Age,No specific age mentioned.,47,62,0.6571428571428571,0.0,31,26,0.4743589743589744,0.0
William Lewis,hasName,William Lewis,2. has_BirthDate,"has_BirthDate(William Lewis Reece, ""July 1, 1959"")",43,45,0.5386904761904762,0.0,41,100,0.5994871794871796,0.4494364165239822
William Lewis,hasName,William Lewis,3. has_DeathDate,No death date mentioned.,43,45,0.6089285714285715,0.0,22,22,0.3976495726495726,0.0
William Lewis,hasName,William Lewis,Person Status Record Module,,18,18,0.4021164021164021,0.0,0,0,0.0,0.0
William Lewis,hasName,William Lewis,1. has_Person_Status,"has_Person_Status(William Lewis Reece, ""Criminal"")",30,38,0.5904761904761905,0.0,41,100,0.5994871794871796,0.5023287782256719
William Lewis,hasName,William Lewis,2. has_Status_Generating_Event,"has_Status_Generating_Event(Criminal, ""Linked via DNA to the 1997 murder of a woman in Oklahoma""), has_Status_Generating_Event(Criminal, ""Convicted and sentenced to death in 2015""), has_Status_Generating_Event(Criminal, ""Confessed to three murders associated with the Texas Killing Fields""), has_Status_Generating_Event(Criminal, ""Sentenced to life imprisonment in 2022"").",27,33,0.626984126984127,0.0,6,10,0.5128894403087951,0.0
William Lewis,hasSex,Male,Name Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
William Lewis,hasSex,Male,1. has_Name,"has_Name(William Lewis Reece, ""William Lewis Reece"")",47,50,0.5909090909090909,0.0,11,19,0.4914529914529915,0.0
William Lewis,hasSex,Male,2. has_Surname,"has_Surname(William Lewis Reece, ""Reece"")",50,53,0.6507936507936508,0.0,13,17,0.4966124661246612,0.0
William Lewis,hasSex,Male,3. has_First_Name,"has_First_Name(William Lewis Reece, ""William"").",35,45,0.5588235294117647,0.0,12,16,0.49349881796690304,0.0
William Lewis,hasSex,Male,Interagent Relationship Record Module,,14,9,0.41591591591591587,0.0,0,0,0.0,0.0
William Lewis,hasSex,Male,Sex Record Module,,26,26,0.5588235294117647,0.0,0,0,0.0,0.0
William Lewis,hasSex,Male,1. has_Sex,"has_Sex(William Lewis Reece, ""Male"").",75,80,0.8666666666666667,0.0,20,100,0.49924924924924924,0.33517574332792605
William Lewis,hasSex,Male,Occupation Record Module,,13,13,0.47222222222222215,0.0,0,0,0.0,0.0
William Lewis,hasSex,Male,1. has_Occupation,"has_Occupation(William Lewis Reece, ""Serial Killer, Rapist, Kidnapper"").",26,27,0.5588235294117647,0.0,8,9,0.5972222222222222,0.0
William Lewis,hasSex,Male,Age Record Module,,9,17,0.40849673202614384,0.0,0,0,0.0,0.0
William Lewis,hasSex,Male,1. has_Age,No specific age mentioned.,50,53,0.6,0.0,13,14,0.358974358974359,0.0
William Lewis,hasSex,Male,2. has_BirthDate,"has_BirthDate(William Lewis Reece, ""July 1, 1959"")",36,38,0.5625,0.0,11,12,0.49222222222222217,0.0
William Lewis,hasSex,Male,3. has_DeathDate,No death date mentioned.,36,38,0.6388888888888888,0.0,14,15,0.36111111111111116,0.0
William Lewis,hasSex,Male,Person Status Record Module,,18,12,0.5216049382716049,0.0,0,0,0.0,0.0
William Lewis,hasSex,Male,1. has_Person_Status,"has_Person_Status(William Lewis Reece, ""Criminal"")",31,32,0.6222222222222222,0.0,11,16,0.49222222222222217,0.0
William Lewis,hasSex,Male,2. has_Status_Generating_Event,"has_Status_Generating_Event(Criminal, ""Linked via DNA to the 1997 murder of a woman in Oklahoma""), has_Status_Generating_Event(Criminal, ""Convicted and sentenced to death in 2015""), has_Status_Generating_Event(Criminal, ""Confessed to three murders associated with the Texas Killing Fields""), has_Status_Generating_Event(Criminal, ""Sentenced to life imprisonment in 2022"").",28,29,0.6666666666666666,0.0,2,4,0.474910394265233,0.0
William Lewis,hasEthnolinguisticDescriptor,Anglo-African,Name Record Module,,22,30,0.45171957671957674,0.0,0,0,0.0,0.0
William Lewis,hasEthnolinguisticDescriptor,Anglo-African,1. has_Name,"has_Name(William Lewis Reece, ""William Lewis Reece"")",21,26,0.5021645021645021,0.0,12,24,0.3782051282051282,0.0
William Lewis,hasEthnolinguisticDescriptor,Anglo-African,2. has_Surname,"has_Surname(William Lewis Reece, ""Reece"")",24,24,0.48809523809523814,0.0,15,27,0.42484886387325416,0.0
William Lewis,hasEthnolinguisticDescriptor,Anglo-African,3. has_First_Name,"has_First_Name(William Lewis Reece, ""William"").",31,32,0.5021008403361344,0.0,13,30,0.36366612111292956,0.0
William Lewis,hasEthnolinguisticDescriptor,Anglo-African,Interagent Relationship Record Module,,34,34,0.5431145431145431,0.0,0,0,0.0,0.0
William Lewis,hasEthnolinguisticDescriptor,Anglo-African,Sex Record Module,,18,27,0.4242296918767507,0.0,0,0,0.0,0.0
William Lewis,hasEthnolinguisticDescriptor,Anglo-African,1. has_Sex,"has_Sex(William Lewis Reece, ""Male"").",21,27,0.5142857142857143,0.0,16,22,0.3886001386001386,0.0
William Lewis,hasEthnolinguisticDescriptor,Anglo-African,Occupation Record Module,,31,35,0.4246031746031746,0.0,0,0,0.0,0.0
William Lewis,hasEthnolinguisticDescriptor,Anglo-African,1. has_Occupation,"has_Occupation(William Lewis Reece, ""Serial Killer, Rapist, Kidnapper"").",36,41,0.558759867583397,0.0,14,18,0.40237077737077737,0.0
William Lewis,hasEthnolinguisticDescriptor,Anglo-African,Age Record Module,,22,36,0.4112978524743231,0.0,0,0,0.0,0.0
William Lewis,hasEthnolinguisticDescriptor,Anglo-African,1. has_Age,No specific age mentioned.,26,27,0.5595238095238095,0.0,31,32,0.4597069597069597,0.0
William Lewis,hasEthnolinguisticDescriptor,Anglo-African,2. has_BirthDate,"has_BirthDate(William Lewis Reece, ""July 1, 1959"")",32,33,0.5607142857142857,0.0,10,21,0.3615384615384616,0.0
William Lewis,hasEthnolinguisticDescriptor,Anglo-African,3. has_DeathDate,No death date mentioned.,32,37,0.5119047619047619,0.0,16,33,0.40811965811965817,0.0
William Lewis,hasEthnolinguisticDescriptor,Anglo-African,Person Status Record Module,,33,25,0.4576719576719577,0.0,0,0,0.0,0.0
William Lewis,hasEthnolinguisticDescriptor,Anglo-African,1. has_Person_Status,"has_Person_Status(William Lewis Reece, ""Criminal"")",29,38,0.565079365079365,0.0,16,24,0.4160683760683761,0.0
William Lewis,hasEthnolinguisticDescriptor,Anglo-African,2. has_Status_Generating_Event,"has_Status_Generating_Event(Criminal, ""Linked via DNA to the 1997 murder of a woman in Oklahoma""), has_Status_Generating_Event(Criminal, ""Convicted and sentenced to death in 2015""), has_Status_Generating_Event(Criminal, ""Confessed to three murders associated with the Texas Killing Fields""), has_Status_Generating_Event(Criminal, ""Sentenced to life imprisonment in 2022"").",34,35,0.5603174603174603,0.0,5,11,0.4737260946938366,0.0
William Lewis,hasRaceorColor,Mulatto,Name Record Module,,44,38,0.6302910052910052,0.0,0,0,0.0,0.0
William Lewis,hasRaceorColor,Mulatto,1. has_Name,"has_Name(William Lewis Reece, ""William Lewis Reece"")",40,42,0.6038961038961039,0.0,7,17,0.2747252747252747,0.0
William Lewis,hasRaceorColor,Mulatto,2. has_Surname,"has_Surname(William Lewis Reece, ""Reece"")",36,44,0.5238095238095238,0.0,12,16,0.3894696089818041,0.0
William Lewis,hasRaceorColor,Mulatto,3. has_First_Name,"has_First_Name(William Lewis Reece, ""William"").",32,40,0.5070028011204482,0.0,7,15,0.3863559608240459,0.0
William Lewis,hasRaceorColor,Mulatto,Interagent Relationship Record Module,,31,35,0.5281853281853283,0.0,0,0,0.0,0.0
William Lewis,hasRaceorColor,Mulatto,Sex Record Module,,39,32,0.5896358543417367,0.0,0,0,0.0,0.0
William Lewis,hasRaceorColor,Mulatto,1. has_Sex,"has_Sex(William Lewis Reece, ""Male"").",33,35,0.5619047619047619,0.0,9,15,0.2799227799227799,0.0
William Lewis,hasRaceorColor,Mulatto,Occupation Record Module,,37,32,0.5244708994708994,0.0,0,0,0.0,0.0
William Lewis,hasRaceorColor,Mulatto,1. has_Occupation,"has_Occupation(William Lewis Reece, ""Serial Killer, Rapist, Kidnapper"").",32,40,0.5504201680672268,0.0,10,11,0.46124338624338623,0.0
William Lewis,hasRaceorColor,Mulatto,Age Record Module,,39,45,0.5896358543417367,0.0,0,0,0.0,0.0
William Lewis,hasRaceorColor,Mulatto,1. has_Age,No specific age mentioned.,33,43,0.5619047619047619,0.0,18,19,0.2875457875457876,0.0
William Lewis,hasRaceorColor,Mulatto,2. has_BirthDate,"has_BirthDate(William Lewis Reece, ""July 1, 1959"")",33,41,0.5119047619047619,0.0,11,12,0.4671428571428571,0.0
William Lewis,hasRaceorColor,Mulatto,3. has_DeathDate,No death date mentioned.,33,34,0.4898809523809524,0.0,26,27,0.49603174603174605,0.0
William Lewis,hasRaceorColor,Mulatto,Person Status Record Module,,39,29,0.5615520282186949,0.0,0,0,0.0,0.0
William Lewis,hasRaceorColor,Mulatto,1. has_Person_Status,"has_Person_Status(William Lewis Reece, ""Criminal"")",35,36,0.5206349206349207,0.0,11,19,0.5479365079365079,0.0
William Lewis,hasRaceorColor,Mulatto,2. has_Status_Generating_Event,"has_Status_Generating_Event(Criminal, ""Linked via DNA to the 1997 murder of a woman in Oklahoma""), has_Status_Generating_Event(Criminal, ""Convicted and sentenced to death in 2015""), has_Status_Generating_Event(Criminal, ""Confessed to three murders associated with the Texas Killing Fields""), has_Status_Generating_Event(Criminal, ""Sentenced to life imprisonment in 2022"").",27,28,0.5428571428571428,0.0,3,6,0.5133128520225294,0.0
William Lewis,hasFirstName,William,Name Record Module,,27,27,0.4314814814814814,0.0,0,0,0.0,0.0
William Lewis,hasFirstName,William,1. has_Name,"has_Name(William Lewis Reece, ""William Lewis Reece"")",61,64,0.73989898989899,0.0,24,100,0.5686813186813187,0.4285693450091423
