Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,marie bernard couvent,24,0.46645021645021645,30,0.43650793650793646,0.0,0.0
instance of,person,bernard,"couvent, ""marie bernard couvent"")",22,0.48917748917748916,21,0.4292929292929293,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,justin fervin,24,0.46645021645021645,32,0.49572649572649574,0.0,0.0
instance of,person,bernard,"couvent, ""justin fervin"")",22,0.48917748917748916,19,0.44222222222222224,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,maria gabriel bernard couvent,24,0.46645021645021645,23,0.4233716475095785,0.0,0.0
instance of,person,bernard,"couvent, ""maria gabriel bernard couvent"")",22,0.48917748917748916,17,0.4214092140921409,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,marie justine cirnaire,24,0.46645021645021645,21,0.5328282828282828,0.0,0.0
instance of,person,bernard,"couvent, ""marie justine cirnaire"")",22,0.48917748917748916,20,0.526797385620915,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,marie bernard couvent,18,0.4239789196310935,30,0.43650793650793646,0.0,0.0
instance of,person,bernard,"couvent, ""marie bernard couvent"")",22,0.48917748917748916,21,0.4292929292929293,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
