TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Tom Bass,hasDescription,"Enslaved. A famous horse trainer who organized the American Royal horse show, designed a bit that was more comfortable for horse's mouths, and won many horse races.",90,100,0.9411764705882352,1.0,38,47,0.6958310749774164,0.0823168333620482
Tom Bass,hasDescriptiveOccupation,Racehorse Breeder / Trainer,68,70,0.8022875816993463,0.0,41,40,0.5591096146651702,0.0
Tom Bass,hasDescriptiveOccupation,Slave,68,70,0.8022875816993463,0.0,19,100,0.5539094650205761,0.1610990968824811
Tom Bass,hasFirstName,Tom,63,71,0.7983091787439612,0.0,20,23,0.7037037037037037,0.0
Tom Bass,hasName,Tom Bass,58,61,0.8039215686274509,0.0,34,45,0.5853174603174603,0.0
Tom Bass,hasParticipantRole,Child,84,86,0.9066666666666666,0.0,19,15,0.6059259259259259,0.0
Tom Bass,hasParticipantRole,Deceased Person,84,86,0.9066666666666666,0.0,29,37,0.578984414278532,0.0
Tom Bass,hasSex,Male,80,100,0.8888888888888888,1.0,26,100,0.6015151515151516,0.3799783615910079
Tom Bass,hasSurname,Bass,65,67,0.8253968253968255,0.0,19,22,0.6801346801346803,0.0
Tom Bass,instance of,Person,36,41,0.5989057239057239,0.0,20,25,0.6,0.0
