Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the provided,"text, i can't generate the ontology as requested because the text does not provide specific information about an agent named joseph vance lewis. the text mainly discusses a person named greenfield and her life events, but does not provide detailed information about her birth date, death date, race, or other specific details required to fill out the ontology modules as requested.",38,0.5292929292929293,3,0.5608048993875765,0.0,0.0709714061658718
hassex,female,on the provided,"text, i can't generate the ontology as requested because the text does not provide specific information about an agent named joseph vance lewis. the text mainly discusses a person named greenfield and her life events, but does not provide detailed information about her birth date, death date, race, or other specific details required to fill out the ontology modules as requested.",19,0.48888888888888893,3,0.505249343832021,0.0,0.0
hasparticipantrole,child,on the provided,"text, i can't generate the ontology as requested because the text does not provide specific information about an agent named joseph vance lewis. the text mainly discusses a person named greenfield and her life events, but does not provide detailed information about her birth date, death date, race, or other specific details required to fill out the ontology modules as requested.",30,0.4756613756613757,3,0.6043744531933508,0.0,0.0
hasparticipantrole,deceased person,on the provided,"text, i can't generate the ontology as requested because the text does not provide specific information about an agent named joseph vance lewis. the text mainly discusses a person named greenfield and her life events, but does not provide detailed information about her birth date, death date, race, or other specific details required to fill out the ontology modules as requested.",30,0.4756613756613757,8,0.5464566929133858,0.0,0.04114486872776261
hasdescriptiveoccupation,slave,on the provided,"text, i can't generate the ontology as requested because the text does not provide specific information about an agent named joseph vance lewis. the text mainly discusses a person named greenfield and her life events, but does not provide detailed information about her birth date, death date, race, or other specific details required to fill out the ontology modules as requested.",26,0.561111111111111,3,0.537707786526684,0.0,0.0
hasdescriptiveoccupation,music educator,on the provided,"text, i can't generate the ontology as requested because the text does not provide specific information about an agent named joseph vance lewis. the text mainly discusses a person named greenfield and her life events, but does not provide detailed information about her birth date, death date, race, or other specific details required to fill out the ontology modules as requested.",26,0.561111111111111,7,0.5360579927509062,0.0,0.0
hasdescriptiveoccupation,concert singer,on the provided,"text, i can't generate the ontology as requested because the text does not provide specific information about an agent named joseph vance lewis. the text mainly discusses a person named greenfield and her life events, but does not provide detailed information about her birth date, death date, race, or other specific details required to fill out the ontology modules as requested.",26,0.561111111111111,7,0.5122484689413823,0.0,0.0
hasfirstname,elizabeth taylor,on the provided,"text, i can't generate the ontology as requested because the text does not provide specific information about an agent named joseph vance lewis. the text mainly discusses a person named greenfield and her life events, but does not provide detailed information about her birth date, death date, race, or other specific details required to fill out the ontology modules as requested.",22,0.3666666666666667,8,0.5034011373578303,0.0,0.0
hassurname,greenfield,on the provided,"text, i can't generate the ontology as requested because the text does not provide specific information about an agent named joseph vance lewis. the text mainly discusses a person named greenfield and her life events, but does not provide detailed information about her birth date, death date, race, or other specific details required to fill out the ontology modules as requested.",24,0.3888888888888889,5,0.5087489063867017,0.0,0.0709714061658718
hasname,elizabeth taylor greenfield,on the provided,"text, i can't generate the ontology as requested because the text does not provide specific information about an agent named joseph vance lewis. the text mainly discusses a person named greenfield and her life events, but does not provide detailed information about her birth date, death date, race, or other specific details required to fill out the ontology modules as requested.",18,0.4317460317460317,12,0.5232219904135914,0.0,0.031897134462857454
hasdescription,"born enslaved. free before 13th amendment. a talented singer; nicknamed ""the black swan."" toured widely in the north and in england. the black swan at home and abroad was published about her in 1856. https://archive.org/details/blackswanathomea00phil/page/n3.",on the provided,"text, i can't generate the ontology as requested because the text does not provide specific information about an agent named joseph vance lewis. the text mainly discusses a person named greenfield and her life events, but does not provide detailed information about her birth date, death date, race, or other specific details required to fill out the ontology modules as requested.",28,0.4984126984126984,40,0.6527404081827425,0.0,0.1447282987937535
