Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,seymour burr,24,0.46645021645021645,22,0.5,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,seymour burr,18,0.4239789196310935,22,0.5,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,seymour burr,30,0.4545454545454546,22,0.5,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,burr,28,0.4452861952861953,20,0.47222222222222215,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,seymour,32,0.5192640692640692,31,0.5396825396825397,0.0,0.0
instance of,person,hasdescription,description,24,0.47056277056277057,47,0.47979797979797983,0.0,0.0
instance of,person,hasdescription,enslaved. became free. served in the british army,24,0.47056277056277057,15,0.4994331065759637,0.0,0.0
instance of,person,hasdescription,captured,24,0.47056277056277057,29,0.5277777777777778,0.0,0.0
instance of,person,hasdescription,and eventually gained freedom after serving in the american army.,24,0.47056277056277057,11,0.40940170940170945,0.0,0.0
instance of,person,in the british,"army, captured, and eventually gained freedom after serving in the american army."")",40,0.5372294372294372,11,0.4978580990629184,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,referstoplaceoforigin,place,44,0.5137085137085137,36,0.45555555555555555,0.0,0.0
